TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.80325853E+003, 0.81859447E+003, 0.87703863E+003, 0.12721620E+004, 0.00000000E+000, 0.81073839E+003, 0.00000000E+000, 0.80026230E+003, 0.80574990E+003, 0.99112914E-001, 0.99112914E-001, 0.81432681E+003, 0.62815000E+003,
 0.10000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.76165619E+003, 0.76870579E+003, 0.80875941E+003, 0.12655363E+004, 0.00000000E+000, 0.76185242E+003, 0.00000000E+000, 0.75238244E+003, 0.77131124E+003, 0.90278651E-001, 0.90278651E-001, 0.81426092E+003, 0.62814738E+003,
 0.15000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.71678834E+003, 0.72005819E+003, 0.75354230E+003, 0.12601640E+004, 0.00000000E+000, 0.71498150E+003, 0.00000000E+000, 0.70858706E+003, 0.73036079E+003, 0.82790733E-001, 0.82790733E-001, 0.81396866E+003, 0.62814740E+003,
 0.20000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.68915731E+003, 0.68995299E+003, 0.71281382E+003, 0.12557121E+004, 0.00000000E+000, 0.68675207E+003, 0.00000000E+000, 0.68312477E+003, 0.70317787E+003, 0.76372638E-001, 0.76372638E-001, 0.81281079E+003, 0.62814739E+003,
 0.25000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.67390738E+003, 0.67356231E+003, 0.68857850E+003, 0.12516577E+004, 0.00000000E+000, 0.67155119E+003, 0.00000000E+000, 0.66955339E+003, 0.68671450E+003, 0.70614495E-001, 0.70614495E-001, 0.80978387E+003, 0.62814726E+003,
 0.30000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.66589044E+003, 0.66522904E+003, 0.67560446E+003, 0.12485686E+004, 0.00000000E+000, 0.66387521E+003, 0.00000000E+000, 0.66270902E+003, 0.67687054E+003, 0.65908642E-001, 0.65908642E-001, 0.80467496E+003, 0.62814690E+003,
 0.35000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.66167018E+003, 0.66104478E+003, 0.66887023E+003, 0.12458661E+004, 0.00000000E+000, 0.66003723E+003, 0.00000000E+000, 0.65927208E+003, 0.67077018E+003, 0.61798319E-001, 0.61798319E-001, 0.79782524E+003, 0.62814653E+003,
 0.40000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65935504E+003, 0.65888905E+003, 0.66534937E+003, 0.12435155E+004, 0.00000000E+000, 0.65806363E+003, 0.00000000E+000, 0.65748691E+003, 0.66677136E+003, 0.58199674E-001, 0.58199674E-001, 0.78976518E+003, 0.62814624E+003,
 0.45000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65806839E+003, 0.65779591E+003, 0.66352398E+003, 0.12414881E+004, 0.00000000E+000, 0.65706708E+003, 0.00000000E+000, 0.65657504E+003, 0.66402220E+003, 0.54934418E-001, 0.54934418E-001, 0.78099849E+003, 0.62814632E+003,
 0.50000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65730372E+003, 0.65720153E+003, 0.66249437E+003, 0.12397062E+004, 0.00000000E+000, 0.65653022E+003, 0.00000000E+000, 0.65608038E+003, 0.66204861E+003, 0.52093401E-001, 0.52093401E-001, 0.77195464E+003, 0.62814632E+003,
