 ISTEP , IPRSTP ,NBNTOT, TIME ,ARRAY(002),ARRAY(003),ARRAY(004),ARRAY(005),ARRAY(006),ARRAY(007),ARRAY(008),ARRAY(009),ARRAY(010),ARRAY(011),ARRAY(012),ARRAY(013),ARRAY(014),ARRAY(015),ARRAY(016),ARRAY(017),ARRAY(018),ARRAY(019),ARRAY(020),ARRAY(021),ARRAY(022),ARRAY(023),ARRAY(024),ARRAY(025),
0,0,25, 0.00000000E+000, 0.62814745E+003, 0.78479515E+003, 0.78439615E+003, 0.62815000E+003, 0.62814731E+003, 0.60488264E+003, 0.75697245E+003, 0.60488268E+003, 0.62815000E+003, 0.12545996E+004, 0.12545996E+004, 0.00000000E+000, 0.00000000E+000, 0.00000000E+000, 0.12900000E+004, 0.12900000E+004, 0.12900000E+004, 0.00000000E+000, 0.31807096E+006, 0.15847714E+006, 0.11986396E+003, 0.12614088E+003, 0.00000000E+000, 0.00000000E+000,
164,200,25, 0.82000000E+002, 0.62814816E+003, 0.77616777E+003, 0.75657115E+003, 0.62815000E+003, 0.62696968E+003, 0.60488266E+003, 0.75697247E+003, 0.66923125E+003, 0.62815000E+003, 0.79760902E+002, 0.78476210E+002, 0.20669332E+001,-0.51548591E+001,-0.45303736E-004, 0.20907539E+003, 0.20907445E+003, 0.20907583E+003, 0.92507212E+002, 0.36695032E+003,-0.13162654E+004, 0.53583566E+001, 0.55001297E+001, 0.31452847E+007, 0.53770861E+002,
359,400,25, 0.17950000E+003, 0.62813935E+003, 0.77304711E+003, 0.76015131E+003, 0.62815000E+003, 0.62558744E+003, 0.61946419E+003, 0.75892367E+003, 0.70117997E+003, 0.62814994E+003, 0.46893759E+002, 0.46973374E+002, 0.18216616E+002, 0.29417900E+000,-0.68275956E-004, 0.77394662E+002, 0.77346006E+002, 0.77295696E+002, 0.62299812E+002,-0.12917388E+004,-0.14398014E+004, 0.00000000E+000, 0.00000000E+000, 0.30616684E+007, 0.53334410E+002,
559,600,25, 0.35900000E+003, 0.62811311E+003, 0.77043762E+003, 0.76400617E+003, 0.62815000E+003, 0.62391802E+003, 0.64644181E+003, 0.76156303E+003, 0.71735000E+003, 0.59779742E+003, 0.46117910E+002, 0.46216832E+002, 0.22473872E+002, 0.38042255E+000,-0.42923824E-004, 0.54650959E+002, 0.54614329E+002, 0.54576706E+002, 0.74320917E+002,-0.12504649E+004,-0.71792015E+003, 0.00000000E+000, 0.00000000E+000, 0.28165243E+007, 0.52069641E+002,
759,800,25, 0.55900000E+003, 0.62790702E+003, 0.76795609E+003, 0.76595818E+003, 0.62815000E+003, 0.62336012E+003, 0.67599989E+003, 0.75544241E+003, 0.72955954E+003, 0.58111320E+003, 0.44089790E+002, 0.43940698E+002, 0.25055723E+002,-0.56996048E+000, 0.74193005E-004, 0.58970253E+002, 0.58935497E+002, 0.58899135E+002, 0.84706562E+002,-0.11303295E+004,-0.83588505E+003, 0.00000000E+000, 0.00000000E+000, 0.26746576E+007, 0.51303460E+002,
959,1000,25, 0.75900000E+003, 0.62814872E+003, 0.76544878E+003, 0.76692406E+003, 0.62815000E+003, 0.62428866E+003, 0.69853240E+003, 0.74078791E+003, 0.73473390E+003, 0.57950126E+003, 0.41321212E+002, 0.41441946E+002, 0.27742882E+002, 0.46486432E+000,-0.50823827E-004, 0.48233587E+002, 0.48211393E+002, 0.48187828E+002, 0.91689854E+002,-0.10054291E+004,-0.55921612E+003, 0.00000000E+000, 0.00000000E+000, 0.26666694E+007, 0.51255198E+002,
1159,1200,25, 0.95900000E+003, 0.63595267E+003, 0.76319451E+003, 0.76742183E+003, 0.62815000E+003, 0.62572673E+003, 0.71275723E+003, 0.73448364E+003, 0.73518703E+003, 0.58519433E+003, 0.38583305E+002, 0.38664774E+002, 0.28835035E+002, 0.31036196E+000,-0.43626910E-004, 0.41113407E+002, 0.41098465E+002, 0.41082825E+002, 0.93304865E+002,-0.87518958E+003,-0.40630064E+003, 0.00000000E+000, 0.00000000E+000, 0.27244330E+007, 0.51592416E+002,
1359,1400,25, 0.11590000E+004, 0.64549051E+003, 0.76130836E+003, 0.76764073E+003, 0.62815000E+003, 0.62716376E+003, 0.72277516E+003, 0.73485813E+003, 0.73503300E+003, 0.59275145E+003, 0.37041480E+002, 0.37107944E+002, 0.29319491E+002, 0.25342031E+000,-0.34965650E-004, 0.40373314E+002, 0.40362403E+002, 0.40351077E+002, 0.94601181E+002,-0.80612979E+003,-0.39180446E+003, 0.00000000E+000, 0.00000000E+000, 0.28007138E+007, 0.52001798E+002,
1559,1600,25, 0.13590000E+004, 0.65421648E+003, 0.75990806E+003, 0.76766716E+003, 0.62815000E+003, 0.62850711E+003, 0.72929606E+003, 0.73523654E+003, 0.73506408E+003, 0.60124957E+003, 0.35816278E+002, 0.35875637E+002, 0.29578258E+002, 0.22811573E+000,-0.26189908E-004, 0.38356339E+002, 0.38350131E+002, 0.38343648E+002, 0.95757069E+002,-0.75347771E+003,-0.35363470E+003, 0.00000000E+000, 0.00000000E+000, 0.28858877E+007, 0.52457055E+002,
1759,1800,25, 0.15590000E+004, 0.66154448E+003, 0.75895652E+003, 0.76755395E+003, 0.62815000E+003, 0.62972737E+003, 0.73257008E+003, 0.73484382E+003, 0.73505290E+003, 0.60957919E+003, 0.34937687E+002, 0.34977970E+002, 0.29693036E+002, 0.15486309E+000,-0.17613386E-004, 0.35483249E+002, 0.35480157E+002, 0.35476931E+002, 0.96385597E+002,-0.71624297E+003,-0.30264069E+003, 0.00000000E+000, 0.00000000E+000, 0.29688536E+007, 0.52887695E+002,
