ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000231E+001, 0.69421092E-004, 0.50000557E+000, 0.54682614E-001, 0.21466935E-004, 0.00000000E+000,-0.11806324E-005, 0.00000000E+000, 0.00000000E+000, 0.22503059E-007, 0.22625064E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000634E+001, 0.97613730E-004, 0.10000264E+001, 0.54682692E-001, 0.55556011E-004, 0.00000000E+000,-0.67574971E-005,-0.28184237E-005,-0.13937136E-005, 0.80917552E-007, 0.66444728E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10001082E+001, 0.94282004E-004, 0.15000692E+001, 0.54682840E-001, 0.88539257E-004, 0.00000000E+000,-0.15986286E-004,-0.98277218E-005,-0.46210925E-005, 0.18165201E-006, 0.11879271E-003, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10001592E+001, 0.10815421E-003, 0.20001357E+001, 0.54683052E-001, 0.12319045E-003, 0.00000000E+000,-0.27342756E-004,-0.19010901E-004,-0.95179029E-005, 0.27026205E-006, 0.17879175E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10002081E+001, 0.95438105E-004, 0.25002277E+001, 0.54683325E-001, 0.15158838E-003, 0.00000000E+000,-0.40236527E-004,-0.29590254E-004,-0.15541511E-004, 0.27004641E-006, 0.23668662E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10002537E+001, 0.88087618E-004, 0.30003432E+001, 0.54683643E-001, 0.17438483E-003, 0.00000000E+000,-0.53073539E-004,-0.40448924E-004,-0.22100156E-004, 0.10726722E-006, 0.28990018E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10002938E+001, 0.74700897E-004, 0.35004803E+001, 0.54683991E-001, 0.19030356E-003, 0.00000000E+000,-0.65180686E-004,-0.50564388E-004,-0.28614941E-004,-0.28371548E-006, 0.33494729E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10003286E+001, 0.64193612E-004, 0.40006361E+001, 0.54684358E-001, 0.20061820E-003, 0.00000000E+000,-0.75898608E-004,-0.59470617E-004,-0.34652131E-004,-0.94954232E-006, 0.37158910E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10003572E+001, 0.51044734E-004, 0.45008078E+001, 0.54684731E-001, 0.20524167E-003, 0.00000000E+000,-0.85010790E-004,-0.66867808E-004,-0.39905080E-004,-0.19141310E-005, 0.39893948E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10003800E+001, 0.39783357E-004, 0.50009923E+001, 0.54685101E-001, 0.20521859E-003, 0.00000000E+000,-0.92319290E-004,-0.72670411E-004,-0.44209944E-004,-0.31819083E-005, 0.41760015E-003, 0.00000000E+000, 0.00000000E+000,
11,0, 0.55000000E+001, 0.50000000E+000, 0.10003969E+001, 0.27872737E-004, 0.55011868E+001, 0.54685458E-001, 0.20091308E-003, 0.00000000E+000,-0.97845368E-004,-0.76861292E-004,-0.47511016E-004,-0.47393418E-005, 0.42787010E-003, 0.00000000E+000, 0.00000000E+000,
12,0, 0.60000000E+001, 0.50000000E+000, 0.10004084E+001, 0.17507886E-004, 0.60013883E+001, 0.54685797E-001, 0.19319843E-003, 0.00000000E+000,-0.10162402E-003,-0.79529740E-004,-0.49837759E-004,-0.65593568E-005, 0.43074930E-003, 0.00000000E+000, 0.00000000E+000,
13,0, 0.65000000E+001, 0.50000000E+000, 0.10004148E+001, 0.76290287E-005, 0.65015942E+001, 0.54686113E-001, 0.18263363E-003, 0.00000000E+000,-0.10379809E-003,-0.80796142E-004,-0.51269970E-004,-0.86042101E-005, 0.42710205E-003, 0.00000000E+000, 0.00000000E+000,
14,0, 0.70000000E+001, 0.50000000E+000, 0.10004166E+001,-0.76367650E-006, 0.70018022E+001, 0.54686400E-001, 0.16997778E-003, 0.00000000E+000,-0.10451946E-003,-0.80832985E-004,-0.51913464E-004,-0.10829189E-004, 0.41807287E-003, 0.00000000E+000, 0.00000000E+000,
15,0, 0.75000000E+001, 0.50000000E+000, 0.10004146E+001,-0.81121366E-005, 0.75020102E+001, 0.54686657E-001, 0.15582533E-003, 0.00000000E+000,-0.10398721E-003,-0.79821059E-004,-0.51878965E-004,-0.13185420E-004, 0.40469798E-003, 0.00000000E+000, 0.00000000E+000,
16,0, 0.80000000E+001, 0.50000000E+000, 0.10004092E+001,-0.14107008E-004, 0.80022162E+001, 0.54686883E-001, 0.14078604E-003, 0.00000000E+000,-0.10239802E-003,-0.77957351E-004,-0.51279600E-004,-0.15622504E-004, 0.38804351E-003, 0.00000000E+000, 0.00000000E+000,
17,0, 0.85000000E+001, 0.50000000E+000, 0.10004010E+001,-0.19007821E-004, 0.85024188E+001, 0.54687077E-001, 0.12534190E-003, 0.00000000E+000,-0.99955962E-004,-0.75427601E-004,-0.50217997E-004,-0.18090729E-004, 0.36903419E-003, 0.00000000E+000, 0.00000000E+000,
18,0, 0.90000000E+001, 0.50000000E+000, 0.10003907E+001,-0.22892390E-004, 0.90026168E+001, 0.54687240E-001, 0.10988782E-003, 0.00000000E+000,-0.96847857E-004,-0.72407899E-004,-0.48805934E-004,-0.20542707E-004, 0.34849222E-003, 0.00000000E+000, 0.00000000E+000,
19,0, 0.95000000E+001, 0.50000000E+000, 0.10003786E+001,-0.25877110E-004, 0.95028091E+001, 0.54687373E-001, 0.94735430E-004, 0.00000000E+000,-0.93243307E-004,-0.69049304E-004,-0.47124219E-004,-0.22934816E-004, 0.32708708E-003, 0.00000000E+000, 0.00000000E+000,
20,0, 0.10000000E+002, 0.50000000E+000, 0.10003652E+001,-0.28174276E-004, 0.10002995E+002, 0.54687477E-001, 0.80091819E-004, 0.00000000E+000,-0.89288468E-004,-0.65480796E-004,-0.45267937E-004,-0.25227966E-004, 0.30535698E-003, 0.00000000E+000, 0.00000000E+000,
21,0, 0.10500000E+002, 0.50000000E+000, 0.10003507E+001,-0.29846594E-004, 0.10503174E+002, 0.54687555E-001, 0.66111158E-004, 0.00000000E+000,-0.85104305E-004,-0.61804485E-004,-0.43302288E-004,-0.27388257E-004, 0.28371049E-003, 0.00000000E+000, 0.00000000E+000,
22,0, 0.11000000E+002, 0.50000000E+000, 0.10003627E+001, 0.50133940E-004, 0.11003351E+002, 0.54687631E-001, 0.78558944E-004, 0.00000000E+000,-0.82223203E-004,-0.58100522E-004,-0.41660972E-004,-0.29387071E-004, 0.28993071E-003, 0.00000000E+000, 0.00000000E+000,
23,0, 0.11500000E+002, 0.50000000E+000, 0.10031337E+001, 0.82867734E-002, 0.11483588E+002, 0.54690092E-001, 0.26913567E-002, 0.00000000E+000,-0.22934072E-003,-0.57845293E-004,-0.76975028E-004,-0.31229184E-004, 0.30867469E-002, 0.00000000E+000, 0.00000000E+000,
24,0, 0.12000000E+002, 0.50000000E+000, 0.10085178E+001, 0.13292484E-001, 0.11959146E+002, 0.54700143E-001, 0.72234347E-002, 0.00000000E+000,-0.92942280E-003,-0.40668803E-003,-0.25190231E-003,-0.33483897E-004, 0.88449317E-002, 0.00000000E+000, 0.00000000E+000,
25,0, 0.12500000E+002, 0.50000000E+000, 0.10146030E+001, 0.12694254E-001, 0.12437976E+002, 0.54719659E-001, 0.11625193E-001, 0.00000000E+000,-0.21356639E-002,-0.13119286E-002,-0.66304347E-003,-0.38615716E-004, 0.15774445E-001, 0.00000000E+000, 0.00000000E+000,
26,0, 0.13000000E+002, 0.50000000E+000, 0.10214524E+001, 0.14168631E-001, 0.12920019E+002, 0.54748038E-001, 0.16103145E-001, 0.00000000E+000,-0.36132194E-002,-0.25253306E-002,-0.13422891E-002,-0.52890320E-004, 0.23636875E-001, 0.00000000E+000, 0.00000000E+000,
27,0, 0.13500000E+002, 0.50000000E+000, 0.10287547E+001, 0.14642451E-001, 0.13406027E+002, 0.54785139E-001, 0.20383396E-001, 0.00000000E+000,-0.53024877E-002,-0.39112809E-002,-0.22834050E-002,-0.83718629E-004, 0.31964289E-001, 0.00000000E+000, 0.00000000E+000,
28,0, 0.14000000E+002, 0.50000000E+000, 0.10366200E+001, 0.15725397E-001, 0.13896657E+002, 0.54830574E-001, 0.24630895E-001, 0.00000000E+000,-0.71459640E-002,-0.54175722E-002,-0.34667350E-002,-0.13981738E-003, 0.40800984E-001, 0.00000000E+000, 0.00000000E+000,
