TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80172884E+003, 0.83290804E+003, 0.10098031E+004, 0.12333636E+004, 0.00000000E+000, 0.80206197E+003, 0.00000000E+000, 0.80172892E+003, 0.80166098E+003, 0.52839041E+000, 0.52839041E+000, 0.80172829E+003, 0.62815000E+003,
 0.10000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80173947E+003, 0.83292287E+003, 0.10098084E+004, 0.12333608E+004, 0.00000000E+000, 0.80207084E+003, 0.00000000E+000, 0.80173970E+003, 0.80167035E+003, 0.52832428E+000, 0.52832428E+000, 0.80173768E+003, 0.62815000E+003,
 0.15000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80175701E+003, 0.83294287E+003, 0.10098207E+004, 0.12333567E+004, 0.00000000E+000, 0.80208664E+003, 0.00000000E+000, 0.80175733E+003, 0.80168607E+003, 0.52824962E+000, 0.52824962E+000, 0.80175411E+003, 0.62815000E+003,
 0.20000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80177887E+003, 0.83296613E+003, 0.10098385E+004, 0.12333519E+004, 0.00000000E+000, 0.80210720E+003, 0.00000000E+000, 0.80177927E+003, 0.80170606E+003, 0.52817732E+000, 0.52817732E+000, 0.80177506E+003, 0.62814999E+003,
 0.25000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80180369E+003, 0.83299113E+003, 0.10098608E+004, 0.12333477E+004, 0.00000000E+000, 0.80213109E+003, 0.00000000E+000, 0.80180414E+003, 0.80172919E+003, 0.52811759E+000, 0.52811759E+000, 0.80179921E+003, 0.62814967E+003,
 0.30000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80182888E+003, 0.83301495E+003, 0.10098853E+004, 0.12333439E+004, 0.00000000E+000, 0.80215602E+003, 0.00000000E+000, 0.80182932E+003, 0.80175315E+003, 0.52806921E+000, 0.52806921E+000, 0.80182418E+003, 0.62814869E+003,
 0.35000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80185282E+003, 0.83303692E+003, 0.10099101E+004, 0.12333407E+004, 0.00000000E+000, 0.80218014E+003, 0.00000000E+000, 0.80185326E+003, 0.80177641E+003, 0.52803086E+000, 0.52803086E+000, 0.80184817E+003, 0.62814689E+003,
 0.40000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80187461E+003, 0.83305606E+003, 0.10099336E+004, 0.12333380E+004, 0.00000000E+000, 0.80220243E+003, 0.00000000E+000, 0.80187501E+003, 0.80179802E+003, 0.52800064E+000, 0.52800064E+000, 0.80187024E+003, 0.62814425E+003,
 0.45000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80189356E+003, 0.83307223E+003, 0.10099549E+004, 0.12333358E+004, 0.00000000E+000, 0.80222210E+003, 0.00000000E+000, 0.80189392E+003, 0.80181724E+003, 0.52797692E+000, 0.52797692E+000, 0.80188962E+003, 0.62814085E+003,
 0.50000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80190949E+003, 0.83308515E+003, 0.10099732E+004, 0.12333341E+004, 0.00000000E+000, 0.80223884E+003, 0.00000000E+000, 0.80190980E+003, 0.80183376E+003, 0.52795835E+000, 0.52795835E+000, 0.80190606E+003, 0.62813681E+003,
 0.55000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80192223E+003, 0.83309491E+003, 0.10099881E+004, 0.12333327E+004, 0.00000000E+000, 0.80225245E+003, 0.00000000E+000, 0.80192248E+003, 0.80184735E+003, 0.52794388E+000, 0.52794388E+000, 0.80191938E+003, 0.62813231E+003,
 0.60000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80193191E+003, 0.83310160E+003, 0.10099994E+004, 0.12333316E+004, 0.00000000E+000, 0.80226297E+003, 0.00000000E+000, 0.80193210E+003, 0.80185802E+003, 0.52793266E+000, 0.52793266E+000, 0.80192963E+003, 0.62812752E+003,
