 ISTEP , IPRSTP ,NBNTOT, TIME ,ARRAY(002),ARRAY(003),ARRAY(004),
0,0,4, 0.00000000E+000, 0.17721399E+005, 0.45150000E+004, 0.78340451E+003,
1,1,4, 0.31250000E-001, 0.17720938E+005, 0.45151648E+004, 0.78340451E+003,
1,2,4, 0.60546875E-001, 0.17719888E+005, 0.45153253E+004, 0.78340451E+003,
1,3,4, 0.88012695E-001, 0.17718490E+005, 0.45154721E+004, 0.78340451E+003,
1,4,4, 0.11017333E+000, 0.17717336E+005, 0.45155883E+004, 0.78340451E+003,
1,5,4, 0.13626754E+000, 0.17716413E+005, 0.45157233E+004, 0.78340451E+003,
1,6,4, 0.17829917E+000, 0.17716421E+005, 0.45159352E+004, 0.78340451E+003,
1,7,4, 0.32608579E+000, 0.17719046E+005, 0.45166097E+004, 0.78340451E+003,
1,8,4, 0.50000000E+000, 0.17719200E+005, 0.45172975E+004, 0.78340451E+003,
2,9,4, 0.10000000E+001, 0.17717047E+005, 0.45188460E+004, 0.78340451E+003,
3,10,4, 0.15000000E+001, 0.17714766E+005, 0.45201802E+004, 0.78340452E+003,
4,11,4, 0.20000000E+001, 0.17712609E+005, 0.45213406E+004, 0.78340455E+003,
5,12,4, 0.25000000E+001, 0.17710887E+005, 0.45222803E+004, 0.78340463E+003,
6,13,4, 0.30000000E+001, 0.17709536E+005, 0.45230075E+004, 0.78340477E+003,
7,14,4, 0.35000000E+001, 0.17708500E+005, 0.45235817E+004, 0.78340499E+003,
8,15,4, 0.40000000E+001, 0.17707711E+005, 0.45240489E+004, 0.78340528E+003,
9,16,4, 0.45000000E+001, 0.17707111E+005, 0.45244272E+004, 0.78340565E+003,
10,17,4, 0.50000000E+001, 0.17706657E+005, 0.45247258E+004, 0.78340607E+003,
11,18,4, 0.55000000E+001, 0.17706314E+005, 0.45249578E+004, 0.78340656E+003,
12,19,4, 0.60000000E+001, 0.17706054E+005, 0.45251382E+004, 0.78340708E+003,
13,20,4, 0.65000000E+001, 0.17705859E+005, 0.45252788E+004, 0.78340765E+003,
14,21,4, 0.70000000E+001, 0.17705712E+005, 0.45253884E+004, 0.78340824E+003,
15,22,4, 0.75000000E+001, 0.17705601E+005, 0.45254745E+004, 0.78340884E+003,
16,23,4, 0.80000000E+001, 0.17705519E+005, 0.45255436E+004, 0.78340946E+003,
17,24,4, 0.85000000E+001, 0.17705458E+005, 0.45256012E+004, 0.78341007E+003,
18,25,4, 0.90000000E+001, 0.17705413E+005, 0.45256510E+004, 0.78341068E+003,
19,26,4, 0.95000000E+001, 0.17705380E+005, 0.45256954E+004, 0.78341128E+003,
20,27,4, 0.10000000E+002, 0.17705357E+005, 0.45257362E+004, 0.78341187E+003,
21,28,4, 0.10500000E+002, 0.17705340E+005, 0.45257741E+004, 0.78341244E+003,
22,29,4, 0.11000000E+002, 0.17688629E+005, 0.45094379E+004, 0.78341298E+003,
23,30,4, 0.11031250E+002, 0.17650879E+005, 0.45011158E+004, 0.78341302E+003,
23,31,4, 0.11060547E+002, 0.17578948E+005, 0.44885240E+004, 0.78341305E+003,
23,32,4, 0.11078753E+002, 0.17524944E+005, 0.44793776E+004, 0.78341307E+003,
23,33,4, 0.11095112E+002, 0.17474318E+005, 0.44702698E+004, 0.78341308E+003,
23,34,4, 0.11111111E+002, 0.17423774E+005, 0.44606797E+004, 0.78341310E+003,
23,35,4, 0.11127606E+002, 0.17370327E+005, 0.44502126E+004, 0.78341312E+003,
23,36,4, 0.11145356E+002, 0.17311390E+005, 0.44384211E+004, 0.78341313E+003,
23,37,4, 0.11167521E+002, 0.17236566E+005, 0.44230798E+004, 0.78341316E+003,
23,38,4, 0.11194368E+002, 0.17144791E+005, 0.44038813E+004, 0.78341318E+003,
23,39,4, 0.11228786E+002, 0.17026311E+005, 0.43786973E+004, 0.78341322E+003,
23,40,4, 0.11273657E+002, 0.16872330E+005, 0.43455963E+004, 0.78341327E+003,
23,41,4, 0.11330242E+002, 0.16681452E+005, 0.43044174E+004, 0.78341332E+003,
23,42,4, 0.11388454E+002, 0.16489557E+005, 0.42635232E+004, 0.78341338E+003,
23,43,4, 0.11455015E+002, 0.16276299E+005, 0.42192036E+004, 0.78341345E+003,
23,44,4, 0.11500000E+002, 0.16133574E+005, 0.41907154E+004, 0.78341350E+003,
24,45,4, 0.11591503E+002, 0.15854659E+005, 0.41375066E+004, 0.78341360E+003,
24,46,4, 0.11712231E+002, 0.15497481E+005, 0.40753175E+004, 0.78341417E+003,
24,47,4, 0.11863683E+002, 0.15071174E+005, 0.40062345E+004, 0.78341553E+003,
24,48,4, 0.12000000E+002, 0.14707616E+005, 0.39480083E+004, 0.78341696E+003,
