ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000232E+001, 0.69608490E-004, 0.50000559E+000, 0.54682614E-001, 0.21524883E-004, 0.00000000E+000,-0.11838215E-005, 0.00000000E+000, 0.00000000E+000, 0.22497200E-007, 0.22686208E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000636E+001, 0.97856213E-004, 0.10000265E+001, 0.54682692E-001, 0.55699328E-004, 0.00000000E+000,-0.67753815E-005,-0.28260443E-005,-0.13973941E-005, 0.80938048E-007, 0.66617210E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10001086E+001, 0.94638378E-004, 0.15000693E+001, 0.54682840E-001, 0.88802908E-004, 0.00000000E+000,-0.16030616E-004,-0.98534041E-005,-0.46338978E-005, 0.16570429E-006, 0.11915512E-003, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10001598E+001, 0.10857885E-003, 0.20001361E+001, 0.54683054E-001, 0.12359437E-003, 0.00000000E+000,-0.27431569E-004,-0.19066940E-004,-0.95486335E-005, 0.16782937E-006, 0.17947368E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10002087E+001, 0.95567808E-004, 0.25002284E+001, 0.54683327E-001, 0.15203318E-003, 0.00000000E+000,-0.40389885E-004,-0.29697503E-004,-0.15603053E-004,-0.66344767E-007, 0.23778997E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10002542E+001, 0.87676205E-004, 0.30003442E+001, 0.54683645E-001, 0.17467563E-003, 0.00000000E+000,-0.53300434E-004,-0.40626517E-004,-0.22208219E-004,-0.68479871E-006, 0.29149560E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10002939E+001, 0.73419561E-004, 0.35004815E+001, 0.54683994E-001, 0.19013582E-003, 0.00000000E+000,-0.65476052E-004,-0.50823451E-004,-0.28785539E-004,-0.18196260E-005, 0.33704049E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10003277E+001, 0.61823041E-004, 0.40006371E+001, 0.54684360E-001, 0.19961802E-003, 0.00000000E+000,-0.76238173E-004,-0.59810903E-004,-0.34898730E-004,-0.35650433E-005, 0.37413087E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10003548E+001, 0.47377089E-004, 0.45008080E+001, 0.54684730E-001, 0.20298269E-003, 0.00000000E+000,-0.85352223E-004,-0.67276239E-004,-0.40235923E-004,-0.59697327E-005, 0.40181681E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10003754E+001, 0.34698854E-004, 0.50009907E+001, 0.54685093E-001, 0.20125689E-003, 0.00000000E+000,-0.92602564E-004,-0.73121421E-004,-0.44625974E-004,-0.90431058E-005, 0.42064996E-003, 0.00000000E+000, 0.00000000E+000,
11,0, 0.55000000E+001, 0.50000000E+000, 0.10003894E+001, 0.21288897E-004, 0.55011822E+001, 0.54685440E-001, 0.19480661E-003, 0.00000000E+000,-0.97996054E-004,-0.77317931E-004,-0.48004463E-004,-0.12758182E-004, 0.43088324E-003, 0.00000000E+000, 0.00000000E+000,
12,0, 0.60000000E+001, 0.50000000E+000, 0.10003972E+001, 0.94076983E-005, 0.60013790E+001, 0.54685764E-001, 0.18453059E-003, 0.00000000E+000,-0.10155601E-003,-0.79945702E-004,-0.50391517E-004,-0.17060306E-004, 0.43348413E-003, 0.00000000E+000, 0.00000000E+000,
13,0, 0.65000000E+001, 0.50000000E+000, 0.10003991E+001,-0.19669886E-005, 0.65015782E+001, 0.54686060E-001, 0.17102700E-003, 0.00000000E+000,-0.10341738E-003,-0.81117842E-004,-0.51857600E-004,-0.21872816E-004, 0.42929264E-003, 0.00000000E+000, 0.00000000E+000,
14,0, 0.70000000E+001, 0.50000000E+000, 0.10003958E+001,-0.11790324E-004, 0.70017771E+001, 0.54686321E-001, 0.15510709E-003, 0.00000000E+000,-0.10372732E-003,-0.81001917E-004,-0.52499796E-004,-0.27104432E-004, 0.41944055E-003, 0.00000000E+000, 0.00000000E+000,
15,0, 0.75000000E+001, 0.50000000E+000, 0.10003879E+001,-0.20476375E-004, 0.75019732E+001, 0.54686546E-001, 0.13742410E-003, 0.00000000E+000,-0.10268355E-003,-0.79775915E-004,-0.52421087E-004,-0.32654905E-004, 0.40495956E-003, 0.00000000E+000, 0.00000000E+000,
16,0, 0.80000000E+001, 0.50000000E+000, 0.10003760E+001,-0.27689244E-004, 0.80021643E+001, 0.54686733E-001, 0.11865122E-003, 0.00000000E+000,-0.10048413E-003,-0.77636080E-004,-0.51728164E-004,-0.38420350E-004, 0.38691995E-003, 0.00000000E+000, 0.00000000E+000,
17,0, 0.85000000E+001, 0.50000000E+000, 0.10003608E+001,-0.33672784E-004, 0.85023486E+001, 0.54686881E-001, 0.99334475E-004, 0.00000000E+000,-0.97337023E-004,-0.74769133E-004,-0.50518649E-004,-0.44297778E-004, 0.36625706E-003, 0.00000000E+000, 0.00000000E+000,
18,0, 0.90000000E+001, 0.50000000E+000, 0.10003429E+001,-0.38492893E-004, 0.90025246E+001, 0.54686991E-001, 0.79931566E-004, 0.00000000E+000,-0.93434854E-004,-0.71353659E-004,-0.48900824E-004,-0.50188481E-004, 0.34380938E-003, 0.00000000E+000, 0.00000000E+000,
19,0, 0.95000000E+001, 0.50000000E+000, 0.10003229E+001,-0.42261584E-004, 0.95026911E+001, 0.54687065E-001, 0.60813246E-004, 0.00000000E+000,-0.88954633E-004,-0.67544394E-004,-0.46953482E-004,-0.56001040E-004, 0.32026679E-003, 0.00000000E+000, 0.00000000E+000,
20,0, 0.10000000E+002, 0.50000000E+000, 0.10003011E+001,-0.45189849E-004, 0.10002847E+002, 0.54687102E-001, 0.42241066E-004, 0.00000000E+000,-0.84051006E-004,-0.63474924E-004,-0.44771053E-004,-0.61652985E-004, 0.29619103E-003, 0.00000000E+000, 0.00000000E+000,
21,0, 0.10500000E+002, 0.50000000E+000, 0.10002781E+001,-0.47344018E-004, 0.10502992E+002, 0.54687107E-001, 0.24417734E-004, 0.00000000E+000,-0.78854182E-004,-0.59252610E-004,-0.42419314E-004,-0.67072234E-004, 0.27201608E-003, 0.00000000E+000, 0.00000000E+000,
22,0, 0.11000000E+002, 0.50000000E+000, 0.10002703E+001,-0.20917197E-006, 0.11003128E+002, 0.54687094E-001, 0.22869932E-004, 0.00000000E+000,-0.74332314E-004,-0.54963283E-004,-0.40190403E-004,-0.72197377E-004, 0.26455331E-003, 0.00000000E+000, 0.00000000E+000,
23,0, 0.11500000E+002, 0.50000000E+000, 0.10019153E+001, 0.49371742E-002, 0.11489926E+002, 0.54688496E-001, 0.15821943E-002, 0.00000000E+000,-0.15962414E-003,-0.52721280E-004,-0.60130878E-004,-0.77049679E-004, 0.19317203E-002, 0.00000000E+000, 0.00000000E+000,
24,0, 0.12000000E+002, 0.50000000E+000, 0.10051336E+001, 0.79778282E-002, 0.11964488E+002, 0.54694440E-001, 0.43098881E-002, 0.00000000E+000,-0.57800619E-003,-0.25992215E-003,-0.16432545E-003,-0.82131513E-004, 0.53942734E-002, 0.00000000E+000, 0.00000000E+000,
25,0, 0.12500000E+002, 0.50000000E+000, 0.10087402E+001, 0.75384019E-002, 0.12441448E+002, 0.54706027E-001, 0.69435690E-002, 0.00000000E+000,-0.13027523E-002,-0.80372177E-003,-0.41258631E-003,-0.90268758E-004, 0.95528982E-002, 0.00000000E+000, 0.00000000E+000,
26,0, 0.13000000E+002, 0.50000000E+000, 0.10127361E+001, 0.82786027E-002, 0.12919872E+002, 0.54722804E-001, 0.95820444E-002, 0.00000000E+000,-0.21895722E-002,-0.15328922E-002,-0.82436732E-003,-0.10963793E-003, 0.14238514E-001, 0.00000000E+000, 0.00000000E+000,
27,0, 0.13500000E+002, 0.50000000E+000, 0.10169364E+001, 0.84632867E-002, 0.13400772E+002, 0.54744572E-001, 0.12072859E-001, 0.00000000E+000,-0.32054426E-002,-0.23608363E-002,-0.13954483E-002,-0.14961526E-003, 0.19184202E-001, 0.00000000E+000, 0.00000000E+000,
28,0, 0.14000000E+002, 0.50000000E+000, 0.10213961E+001, 0.89885990E-002, 0.13884677E+002, 0.54771005E-001, 0.14513747E-001, 0.00000000E+000,-0.42948960E-002,-0.32577947E-002,-0.21136935E-002,-0.22119338E-003, 0.24401324E-001, 0.00000000E+000, 0.00000000E+000,
29,0, 0.14500000E+002, 0.50000000E+000, 0.10259928E+001, 0.90949931E-002, 0.14372551E+002, 0.54801875E-001, 0.16806493E-001, 0.00000000E+000,-0.54579550E-002,-0.42031175E-002,-0.29638336E-002,-0.33431021E-003, 0.29765709E-001, 0.00000000E+000, 0.00000000E+000,
