TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184213E+003, 0.78175149E+003, 0.78214325E+003, 0.12058434E+004, 0.00000000E+000, 0.78169095E+003, 0.00000000E+000, 0.78184214E+003, 0.78154760E+003, 0.30917154E-001, 0.30917154E-001, 0.78184211E+003, 0.62815000E+003,
 0.10000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184218E+003, 0.78175153E+003, 0.78214328E+003, 0.12058478E+004, 0.00000000E+000, 0.78169100E+003, 0.00000000E+000, 0.78184219E+003, 0.78154764E+003, 0.30913526E-001, 0.30913526E-001, 0.78184212E+003, 0.62815000E+003,
 0.15000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184225E+003, 0.78175161E+003, 0.78214334E+003, 0.12058512E+004, 0.00000000E+000, 0.78169107E+003, 0.00000000E+000, 0.78184228E+003, 0.78154771E+003, 0.30909634E-001, 0.30909634E-001, 0.78184214E+003, 0.62815000E+003,
 0.20000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184236E+003, 0.78175172E+003, 0.78214343E+003, 0.12058534E+004, 0.00000000E+000, 0.78169119E+003, 0.00000000E+000, 0.78184239E+003, 0.78154781E+003, 0.30905936E-001, 0.30905936E-001, 0.78184219E+003, 0.62814999E+003,
 0.25000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184250E+003, 0.78175186E+003, 0.78214356E+003, 0.12058547E+004, 0.00000000E+000, 0.78169134E+003, 0.00000000E+000, 0.78184254E+003, 0.78154795E+003, 0.30902964E-001, 0.30902964E-001, 0.78184225E+003, 0.62814968E+003,
 0.30000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184266E+003, 0.78175205E+003, 0.78214373E+003, 0.12058554E+004, 0.00000000E+000, 0.78169153E+003, 0.00000000E+000, 0.78184272E+003, 0.78154812E+003, 0.30900592E-001, 0.30900592E-001, 0.78184234E+003, 0.62814871E+003,
 0.35000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184286E+003, 0.78175228E+003, 0.78214393E+003, 0.12058556E+004, 0.00000000E+000, 0.78169176E+003, 0.00000000E+000, 0.78184292E+003, 0.78154835E+003, 0.30898749E-001, 0.30898749E-001, 0.78184245E+003, 0.62814694E+003,
 0.40000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184310E+003, 0.78175256E+003, 0.78214417E+003, 0.12058555E+004, 0.00000000E+000, 0.78169205E+003, 0.00000000E+000, 0.78184317E+003, 0.78154862E+003, 0.30897329E-001, 0.30897329E-001, 0.78184259E+003, 0.62814432E+003,
 0.45000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184338E+003, 0.78175290E+003, 0.78214447E+003, 0.12058554E+004, 0.00000000E+000, 0.78169239E+003, 0.00000000E+000, 0.78184347E+003, 0.78154895E+003, 0.30896242E-001, 0.30896242E-001, 0.78184276E+003, 0.62814093E+003,
 0.50000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184371E+003, 0.78175330E+003, 0.78214482E+003, 0.12058552E+004, 0.00000000E+000, 0.78169281E+003, 0.00000000E+000, 0.78184382E+003, 0.78154936E+003, 0.30895419E-001, 0.30895419E-001, 0.78184296E+003, 0.62813691E+003,
 0.55000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184411E+003, 0.78175379E+003, 0.78214523E+003, 0.12058550E+004, 0.00000000E+000, 0.78169332E+003, 0.00000000E+000, 0.78184424E+003, 0.78154984E+003, 0.30894802E-001, 0.30894802E-001, 0.78184321E+003, 0.62813241E+003,
 0.60000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184458E+003, 0.78175438E+003, 0.78214573E+003, 0.12058548E+004, 0.00000000E+000, 0.78169392E+003, 0.00000000E+000, 0.78184474E+003, 0.78155043E+003, 0.30894346E-001, 0.30894346E-001, 0.78184351E+003, 0.62812763E+003,
 0.65000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184515E+003, 0.78175508E+003, 0.78214632E+003, 0.12058547E+004, 0.00000000E+000, 0.78169464E+003, 0.00000000E+000, 0.78184533E+003, 0.78155113E+003, 0.30894016E-001, 0.30894016E-001, 0.78184386E+003, 0.62812273E+003,
 0.70000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184582E+003, 0.78175590E+003, 0.78214702E+003, 0.12058547E+004, 0.00000000E+000, 0.78169548E+003, 0.00000000E+000, 0.78184604E+003, 0.78155195E+003, 0.30893783E-001, 0.30893783E-001, 0.78184428E+003, 0.62811787E+003,
 0.75000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184662E+003, 0.78175687E+003, 0.78214785E+003, 0.12058548E+004, 0.00000000E+000, 0.78169648E+003, 0.00000000E+000, 0.78184687E+003, 0.78155292E+003, 0.30893627E-001, 0.30893627E-001, 0.78184479E+003, 0.62811316E+003,
