TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601042E+003, 0.82671937E+003, 0.87622851E+003, 0.12085838E+004, 0.00000000E+000, 0.82610056E+003, 0.00000000E+000, 0.82601043E+003, 0.82593478E+003, 0.15859993E+000, 0.15859993E+000, 0.82601037E+003, 0.62815000E+003,
 0.10000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601110E+003, 0.82672338E+003, 0.87623335E+003, 0.12085873E+004, 0.00000000E+000, 0.82610121E+003, 0.00000000E+000, 0.82601116E+003, 0.82593548E+003, 0.15858150E+000, 0.15858150E+000, 0.82601080E+003, 0.62815000E+003,
 0.15000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601317E+003, 0.82673157E+003, 0.87624399E+003, 0.12085897E+004, 0.00000000E+000, 0.82610316E+003, 0.00000000E+000, 0.82601332E+003, 0.82593754E+003, 0.15856223E+000, 0.15856223E+000, 0.82601223E+003, 0.62815000E+003,
 0.20000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601754E+003, 0.82674403E+003, 0.87625928E+003, 0.12085910E+004, 0.00000000E+000, 0.82610731E+003, 0.00000000E+000, 0.82601783E+003, 0.82594177E+003, 0.15854408E+000, 0.15854408E+000, 0.82601551E+003, 0.62815000E+003,
 0.25000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82602481E+003, 0.82676028E+003, 0.87627827E+003, 0.12085914E+004, 0.00000000E+000, 0.82611429E+003, 0.00000000E+000, 0.82602527E+003, 0.82594872E+003, 0.15852979E+000, 0.15852979E+000, 0.82602130E+003, 0.62814996E+003,
 0.30000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82603520E+003, 0.82677918E+003, 0.87629898E+003, 0.12085913E+004, 0.00000000E+000, 0.82612434E+003, 0.00000000E+000, 0.82603584E+003, 0.82595859E+003, 0.15851860E+000, 0.15851860E+000, 0.82602998E+003, 0.62814949E+003,
 0.35000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82604849E+003, 0.82679949E+003, 0.87631982E+003, 0.12085908E+004, 0.00000000E+000, 0.82613730E+003, 0.00000000E+000, 0.82604931E+003, 0.82597121E+003, 0.15851008E+000, 0.15851008E+000, 0.82604154E+003, 0.62814830E+003,
 0.40000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82606415E+003, 0.82682003E+003, 0.87633953E+003, 0.12085901E+004, 0.00000000E+000, 0.82615268E+003, 0.00000000E+000, 0.82606510E+003, 0.82598608E+003, 0.15850361E+000, 0.15850361E+000, 0.82605560E+003, 0.62814627E+003,
 0.45000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82608143E+003, 0.82683988E+003, 0.87635735E+003, 0.12085893E+004, 0.00000000E+000, 0.82616976E+003, 0.00000000E+000, 0.82608248E+003, 0.82600256E+003, 0.15849873E+000, 0.15849873E+000, 0.82607160E+003, 0.62814340E+003,
 0.50000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82609955E+003, 0.82685832E+003, 0.87637275E+003, 0.12085884E+004, 0.00000000E+000, 0.82618777E+003, 0.00000000E+000, 0.82610065E+003, 0.82601995E+003, 0.15849505E+000, 0.15849505E+000, 0.82608881E+003, 0.62813979E+003,
 0.55000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82611774E+003, 0.82687488E+003, 0.87638553E+003, 0.12085876E+004, 0.00000000E+000, 0.82620595E+003, 0.00000000E+000, 0.82611885E+003, 0.82603754E+003, 0.15849229E+000, 0.15849229E+000, 0.82610652E+003, 0.62813561E+003,
 0.60000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82613536E+003, 0.82688925E+003, 0.87639555E+003, 0.12085869E+004, 0.00000000E+000, 0.82622362E+003, 0.00000000E+000, 0.82613645E+003, 0.82605471E+003, 0.15849021E+000, 0.15849021E+000, 0.82612406E+003, 0.62813101E+003,
 0.65000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82615186E+003, 0.82690125E+003, 0.87640281E+003, 0.12085862E+004, 0.00000000E+000, 0.82624025E+003, 0.00000000E+000, 0.82615289E+003, 0.82607096E+003, 0.15848866E+000, 0.15848866E+000, 0.82614085E+003, 0.62812618E+003,
 0.70000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82616683E+003, 0.82691078E+003, 0.87640735E+003, 0.12085856E+004, 0.00000000E+000, 0.82625538E+003, 0.00000000E+000, 0.82616777E+003, 0.82608585E+003, 0.15848750E+000, 0.15848750E+000, 0.82615643E+003, 0.62812129E+003,
 0.75000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82617995E+003, 0.82691783E+003, 0.87640925E+003, 0.12085851E+004, 0.00000000E+000, 0.82626871E+003, 0.00000000E+000, 0.82618079E+003, 0.82609907E+003, 0.15848664E+000, 0.15848664E+000, 0.82617042E+003, 0.62811648E+003,
 0.80000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82619103E+003, 0.82692244E+003, 0.87640865E+003, 0.12085846E+004, 0.00000000E+000, 0.82628002E+003, 0.00000000E+000, 0.82619174E+003, 0.82611039E+003, 0.15848600E+000, 0.15848600E+000, 0.82618256E+003, 0.62811186E+003,
 0.85000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82619993E+003, 0.82692470E+003, 0.87640572E+003, 0.12085842E+004, 0.00000000E+000, 0.82628915E+003, 0.00000000E+000, 0.82620052E+003, 0.82611966E+003, 0.15848552E+000, 0.15848552E+000, 0.82619268E+003, 0.62810752E+003,
 0.90000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82620660E+003, 0.82692472E+003, 0.87640066E+003, 0.12085839E+004, 0.00000000E+000, 0.82629606E+003, 0.00000000E+000, 0.82620705E+003, 0.82612681E+003, 0.15848517E+000, 0.15848517E+000, 0.82620066E+003, 0.62810348E+003,
