ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000224E+001, 0.67052486E-004, 0.50000538E+000, 0.54682613E-001, 0.20734504E-004, 0.00000000E+000,-0.11415737E-005, 0.00000000E+000, 0.00000000E+000,-0.11672953E-010, 0.21876089E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000614E+001, 0.94779233E-004, 0.10000255E+001, 0.54682689E-001, 0.53817427E-004, 0.00000000E+000,-0.65419708E-005,-0.27250373E-005,-0.13499718E-005, 0.40502320E-010, 0.64434367E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10001043E+001, 0.89534964E-004, 0.15000668E+001, 0.54682831E-001, 0.85212957E-004, 0.00000000E+000,-0.15470695E-004,-0.95253174E-005,-0.44823097E-005,-0.30670953E-007, 0.11472195E-003, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10001517E+001, 0.99301606E-004, 0.20001306E+001, 0.54683034E-001, 0.11697454E-003, 0.00000000E+000,-0.26326797E-004,-0.18375455E-004,-0.95574508E-005,-0.19729772E-006, 0.17143154E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10001956E+001, 0.84442160E-004, 0.25002176E+001, 0.54683291E-001, 0.14174223E-003, 0.00000000E+000,-0.38440661E-004,-0.28414400E-004,-0.15944009E-004,-0.64769501E-006, 0.22518899E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10002355E+001, 0.75814864E-004, 0.30003255E+001, 0.54683585E-001, 0.16061127E-003, 0.00000000E+000,-0.50277285E-004,-0.38540336E-004,-0.22819187E-004,-0.15214486E-005, 0.27376952E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10002698E+001, 0.62860500E-004, 0.35004520E+001, 0.54683903E-001, 0.17296163E-003, 0.00000000E+000,-0.61251424E-004,-0.47801353E-004,-0.29495819E-004,-0.29390995E-005, 0.31444933E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10002987E+001, 0.52430653E-004, 0.40005944E+001, 0.54684233E-001, 0.18005863E-003, 0.00000000E+000,-0.70822677E-004,-0.55845024E-004,-0.35454969E-004,-0.49820516E-005, 0.34716335E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10003215E+001, 0.39414858E-004, 0.45007496E+001, 0.54684564E-001, 0.18179471E-003, 0.00000000E+000,-0.78820848E-004,-0.62442354E-004,-0.40387648E-004,-0.76867652E-005, 0.37113233E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10003384E+001, 0.27872319E-004, 0.50009148E+001, 0.54684887E-001, 0.17904141E-003, 0.00000000E+000,-0.85073361E-004,-0.67526219E-004,-0.44140145E-004,-0.11053014E-004, 0.38683415E-003, 0.00000000E+000, 0.00000000E+000,
