ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.10000000E+000, 0.10000000E+000, 0.10000136E+001, 0.20393734E-003, 0.10000067E+000, 0.54682594E-001, 0.13865373E-004, 0.00000000E+000,-0.18844296E-006, 0.00000000E+000, 0.00000000E+000, 0.87244705E-009, 0.14052944E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.20000000E+000, 0.10000000E+000, 0.10000357E+001, 0.26314646E-003, 0.20000306E+000, 0.54682605E-001, 0.35649349E-004, 0.00000000E+000,-0.11595865E-005,-0.11636582E-005,-0.71413286E-007, 0.39540385E-008, 0.38040053E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.30000000E+000, 0.10000000E+000, 0.10000392E+001,-0.57203759E-004, 0.30000697E+000, 0.54682621E-001, 0.37227638E-004, 0.00000000E+000,-0.27472713E-005,-0.39840923E-005,-0.24746581E-006, 0.86263774E-008, 0.44197842E-004, 0.00000000E+000, 0.00000000E+000,
4,0, 0.40000000E+000, 0.10000000E+000, 0.10000328E+001,-0.11335037E-003, 0.40001065E+000, 0.54682635E-001, 0.29039775E-004, 0.00000000E+000,-0.39539916E-005,-0.60211283E-005,-0.52145313E-006, 0.15598717E-007, 0.39520749E-004, 0.00000000E+000, 0.00000000E+000,
5,0, 0.50000000E+000, 0.10000000E+000, 0.10000335E+001, 0.42193331E-004, 0.50001390E+000, 0.54682647E-001, 0.28835107E-004, 0.00000000E+000,-0.47056888E-005,-0.63373807E-005,-0.84965669E-006, 0.24615521E-007, 0.40703218E-004, 0.00000000E+000, 0.00000000E+000,
6,0, 0.60000000E+000, 0.10000000E+000, 0.10000375E+001, 0.55529464E-004, 0.60001742E+000, 0.54682659E-001, 0.31894740E-004, 0.00000000E+000,-0.54664966E-005,-0.65091822E-005,-0.12051709E-005, 0.34976160E-007, 0.45040613E-004, 0.00000000E+000, 0.00000000E+000,
7,0, 0.70000000E+000, 0.10000000E+000, 0.10000412E+001, 0.36955854E-004, 0.70002135E+000, 0.54682672E-001, 0.34607614E-004, 0.00000000E+000,-0.63077585E-005,-0.71166846E-005,-0.15863531E-005, 0.45609681E-007, 0.49572800E-004, 0.00000000E+000, 0.00000000E+000,
8,0, 0.80000000E+000, 0.10000000E+000, 0.10000457E+001, 0.48667799E-004, 0.80002569E+000, 0.54682687E-001, 0.37979975E-004, 0.00000000E+000,-0.71978473E-005,-0.78832280E-005,-0.19982821E-005, 0.55577729E-007, 0.55003754E-004, 0.00000000E+000, 0.00000000E+000,
9,0, 0.90000000E+000, 0.10000000E+000, 0.10000518E+001, 0.68167585E-004, 0.90003056E+000, 0.54682704E-001, 0.42813180E-004, 0.00000000E+000,-0.81777739E-005,-0.87567782E-005,-0.24469143E-005, 0.64396988E-007, 0.62130249E-004, 0.00000000E+000, 0.00000000E+000,
10,0, 0.10000000E+001, 0.10000000E+000, 0.10000589E+001, 0.76583513E-004, 0.10000361E+001, 0.54682722E-001, 0.48549404E-004, 0.00000000E+000,-0.92992185E-005,-0.98367696E-005,-0.29396149E-005, 0.71783873E-007, 0.70553223E-004, 0.00000000E+000, 0.00000000E+000,
