ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000231E+001, 0.69421083E-004, 0.50000557E+000, 0.54682614E-001, 0.21466932E-004, 0.00000000E+000,-0.11806324E-005, 0.00000000E+000, 0.00000000E+000, 0.22500071E-007, 0.22625064E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000634E+001, 0.97613772E-004, 0.10000264E+001, 0.54682692E-001, 0.55556021E-004, 0.00000000E+000,-0.67574968E-005,-0.28184237E-005,-0.13937136E-005, 0.80927725E-007, 0.66444728E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10001082E+001, 0.94256894E-004, 0.15000692E+001, 0.54682840E-001, 0.88531327E-004, 0.00000000E+000,-0.15986287E-004,-0.98277217E-005,-0.46210925E-005, 0.17372104E-006, 0.11879271E-003, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10001592E+001, 0.10801926E-003, 0.20001357E+001, 0.54683052E-001, 0.12313875E-003, 0.00000000E+000,-0.27342050E-004,-0.19010901E-004,-0.95178840E-005, 0.21931615E-006, 0.17879027E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10002079E+001, 0.95071693E-004, 0.25002276E+001, 0.54683325E-001, 0.15141535E-003, 0.00000000E+000,-0.40231660E-004,-0.29589895E-004,-0.15541315E-004, 0.10276655E-006, 0.23667545E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10002532E+001, 0.87362961E-004, 0.30003430E+001, 0.54683642E-001, 0.17396970E-003, 0.00000000E+000,-0.53056155E-004,-0.40446297E-004,-0.22099147E-004,-0.28642499E-006, 0.28985772E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10002929E+001, 0.73492167E-004, 0.35004798E+001, 0.54683989E-001, 0.18948556E-003, 0.00000000E+000,-0.65136078E-004,-0.50554586E-004,-0.28611437E-004,-0.10465960E-005, 0.33483426E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10003269E+001, 0.62394562E-004, 0.40006349E+001, 0.54684354E-001, 0.19920637E-003, 0.00000000E+000,-0.75804838E-004,-0.59444782E-004,-0.34642707E-004,-0.22475491E-005, 0.37134625E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10003544E+001, 0.48575517E-004, 0.45008054E+001, 0.54684723E-001, 0.20302731E-003, 0.00000000E+000,-0.84838678E-004,-0.66812623E-004,-0.39883879E-004,-0.39249319E-005, 0.39848742E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10003758E+001, 0.36590225E-004, 0.50009882E+001, 0.54685087E-001, 0.20198713E-003, 0.00000000E+000,-0.92033088E-004,-0.72568074E-004,-0.44168107E-004,-0.60850473E-005, 0.41684145E-003, 0.00000000E+000, 0.00000000E+000,
11,0, 0.55000000E+001, 0.50000000E+000, 0.10003909E+001, 0.23929248E-004, 0.55011801E+001, 0.54685437E-001, 0.19645521E-003, 0.00000000E+000,-0.97403850E-004,-0.76689982E-004,-0.47436303E-004,-0.87071177E-005, 0.42669246E-003, 0.00000000E+000, 0.00000000E+000,
12,0, 0.60000000E+001, 0.50000000E+000, 0.10004002E+001, 0.12811207E-004, 0.60013780E+001, 0.54685766E-001, 0.18731898E-003, 0.00000000E+000,-0.10098187E-003,-0.79264326E-004,-0.49714412E-004,-0.11749886E-004, 0.42902948E-003, 0.00000000E+000, 0.00000000E+000,
13,0, 0.65000000E+001, 0.50000000E+000, 0.10004040E+001, 0.21983395E-005, 0.65015793E+001, 0.54686068E-001, 0.17515885E-003, 0.00000000E+000,-0.10290739E-003,-0.80409061E-004,-0.51078788E-004,-0.15155915E-004, 0.42471000E-003, 0.00000000E+000, 0.00000000E+000,
14,0, 0.70000000E+001, 0.50000000E+000, 0.10004030E+001,-0.68914826E-005, 0.70017812E+001, 0.54686340E-001, 0.16076030E-003, 0.00000000E+000,-0.10333114E-003,-0.80295168E-004,-0.51632090E-004,-0.18857136E-004, 0.41487583E-003, 0.00000000E+000, 0.00000000E+000,
15,0, 0.75000000E+001, 0.50000000E+000, 0.10003977E+001,-0.14885406E-004, 0.75019815E+001, 0.54686578E-001, 0.14474755E-003, 0.00000000E+000,-0.10245246E-003,-0.79102843E-004,-0.51482319E-004,-0.22779081E-004, 0.40056426E-003, 0.00000000E+000, 0.00000000E+000,
16,0, 0.80000000E+001, 0.50000000E+000, 0.10003888E+001,-0.21463149E-004, 0.80021782E+001, 0.54686780E-001, 0.12776171E-003, 0.00000000E+000,-0.10046953E-003,-0.77029326E-004,-0.50740425E-004,-0.26844852E-004, 0.38284584E-003, 0.00000000E+000, 0.00000000E+000,
17,0, 0.85000000E+001, 0.50000000E+000, 0.10003768E+001,-0.26876546E-004, 0.85023697E+001, 0.54686948E-001, 0.11031633E-003, 0.00000000E+000,-0.97588959E-004,-0.74261356E-004,-0.49507460E-004,-0.30978476E-004, 0.36265258E-003, 0.00000000E+000, 0.00000000E+000,
18,0, 0.90000000E+001, 0.50000000E+000, 0.10003625E+001,-0.31198708E-004, 0.90025546E+001, 0.54687081E-001, 0.92836918E-004, 0.00000000E+000,-0.94000967E-004,-0.70976652E-004,-0.47894256E-004,-0.35107403E-004, 0.34081620E-003, 0.00000000E+000, 0.00000000E+000,
19,0, 0.95000000E+001, 0.50000000E+000, 0.10003462E+001,-0.34544154E-004, 0.95027318E+001, 0.54687181E-001, 0.75663823E-004, 0.00000000E+000,-0.89879219E-004,-0.67328411E-004,-0.45981283E-004,-0.39164693E-004, 0.31801743E-003, 0.00000000E+000, 0.00000000E+000,
20,0, 0.10000000E+002, 0.50000000E+000, 0.10003283E+001,-0.37125343E-004, 0.10002900E+002, 0.54687248E-001, 0.59030349E-004, 0.00000000E+000,-0.85374388E-004,-0.63448126E-004,-0.43863859E-004,-0.43090221E-004, 0.29480694E-003, 0.00000000E+000, 0.00000000E+000,
21,0, 0.10500000E+002, 0.50000000E+000, 0.10003094E+001,-0.39007163E-004, 0.10503060E+002, 0.54687286E-001, 0.43113883E-004, 0.00000000E+000,-0.80612237E-004,-0.59440687E-004,-0.41607918E-004,-0.46831688E-004, 0.27160641E-003, 0.00000000E+000, 0.00000000E+000,
22,0, 0.11000000E+002, 0.50000000E+000, 0.10003167E+001, 0.40829740E-004, 0.11003215E+002, 0.54687318E-001, 0.53699047E-004, 0.00000000E+000,-0.77130051E-004,-0.55389171E-004,-0.39648322E-004,-0.50344796E-004, 0.27621139E-003, 0.00000000E+000, 0.00000000E+000,
23,0, 0.11500000E+002, 0.50000000E+000, 0.10030827E+001, 0.82767031E-002, 0.11483428E+002, 0.54689733E-001, 0.26645894E-002, 0.00000000E+000,-0.22362544E-003,-0.54772843E-004,-0.74616926E-004,-0.53650750E-004, 0.30712553E-002, 0.00000000E+000, 0.00000000E+000,
24,0, 0.12000000E+002, 0.50000000E+000, 0.10084609E+001, 0.13280796E-001, 0.11958959E+002, 0.54699734E-001, 0.71944248E-002, 0.00000000E+000,-0.92303380E-003,-0.40323105E-003,-0.24917014E-003,-0.57580257E-004, 0.88274401E-002, 0.00000000E+000, 0.00000000E+000,
25,0, 0.12500000E+002, 0.50000000E+000, 0.10145382E+001, 0.12677248E-001, 0.12437759E+002, 0.54719193E-001, 0.11592369E-001, 0.00000000E+000,-0.21285195E-002,-0.13080425E-002,-0.65990327E-003,-0.65830269E-004, 0.15754665E-001, 0.00000000E+000, 0.00000000E+000,
26,0, 0.13000000E+002, 0.50000000E+000, 0.10213735E+001, 0.14136075E-001, 0.12919766E+002, 0.54747502E-001, 0.16061665E-001, 0.00000000E+000,-0.36051203E-002,-0.25209532E-002,-0.13386960E-002,-0.87792970E-004, 0.23614227E-001, 0.00000000E+000, 0.00000000E+000,
27,0, 0.13500000E+002, 0.50000000E+000, 0.10286498E+001, 0.14581502E-001, 0.13405729E+002, 0.54784504E-001, 0.20324199E-001, 0.00000000E+000,-0.52928855E-002,-0.39062859E-002,-0.22792859E-002,-0.13459408E-003, 0.31937250E-001, 0.00000000E+000, 0.00000000E+000,
28,0, 0.14000000E+002, 0.50000000E+000, 0.10364690E+001, 0.15619132E-001, 0.13896296E+002, 0.54829787E-001, 0.24539684E-001, 0.00000000E+000,-0.71337320E-002,-0.54116221E-002,-0.34619472E-002,-0.21930626E-003, 0.40766292E-001, 0.00000000E+000, 0.00000000E+000,
29,0, 0.14500000E+002, 0.50000000E+000, 0.10447119E+001, 0.16191686E-001, 0.14392577E+002, 0.54883171E-001, 0.28612656E-001, 0.00000000E+000,-0.90961816E-002,-0.70079715E-002,-0.48622689E-002,-0.35378600E-003, 0.49932864E-001, 0.00000000E+000, 0.00000000E+000,
30,0, 0.15000000E+002, 0.50000000E+000, 0.10534416E+001, 0.17042631E-001, 0.14896505E+002, 0.54944428E-001, 0.32629938E-001, 0.00000000E+000,-0.11151479E-001,-0.86846521E-002,-0.64524725E-002,-0.54849219E-003, 0.59467034E-001, 0.00000000E+000, 0.00000000E+000,
31,0, 0.15500000E+002, 0.50000000E+000, 0.10625963E+001, 0.17636948E-001, 0.15411757E+002, 0.55013459E-001, 0.36542191E-001, 0.00000000E+000,-0.13307148E-001,-0.10426545E-001,-0.82112579E-002,-0.81229538E-003, 0.69299438E-001, 0.00000000E+000, 0.00000000E+000,
32,0, 0.16000000E+002, 0.50000000E+000, 0.10722610E+001, 0.18509901E-001, 0.15945450E+002, 0.55090189E-001, 0.40437471E-001, 0.00000000E+000,-0.15511189E-001,-0.12233351E-001,-0.10120892E-001,-0.11527506E-002, 0.79455653E-001, 0.00000000E+000, 0.00000000E+000,
33,0, 0.16500000E+002, 0.50000000E+000, 0.10823690E+001, 0.19093732E-001, 0.16484089E+002, 0.55174643E-001, 0.44251565E-001, 0.00000000E+000,-0.17801466E-001,-0.14096994E-001,-0.12166595E-001,-0.15760976E-002, 0.89892717E-001, 0.00000000E+000, 0.00000000E+000,
34,0, 0.17000000E+002, 0.50000000E+000, 0.10930156E+001, 0.19982507E-001, 0.17027913E+002, 0.55266837E-001, 0.48072649E-001, 0.00000000E+000,-0.20176620E-001,-0.16014720E-001,-0.14337115E-001,-0.20874995E-002, 0.10068860E+000, 0.00000000E+000, 0.00000000E+000,
35,0, 0.17500000E+002, 0.50000000E+000, 0.11042005E+001, 0.20754587E-001, 0.17577194E+002, 0.55366937E-001, 0.51884376E-001, 0.00000000E+000,-0.22641871E-001,-0.18003089E-001,-0.16625988E-001,-0.26911418E-002, 0.11184647E+000, 0.00000000E+000, 0.00000000E+000,
36,0, 0.18000000E+002, 0.50000000E+000, 0.11159333E+001, 0.21527688E-001, 0.18132205E+002, 0.55475078E-001, 0.55686248E-001, 0.00000000E+000,-0.25160293E-001,-0.20064578E-001,-0.19030048E-001,-0.33903991E-002, 0.12333157E+000, 0.00000000E+000, 0.00000000E+000,
37,0, 0.18500000E+002, 0.50000000E+000, 0.11282064E+001, 0.22244579E-001, 0.18693217E+002, 0.55591395E-001, 0.59462788E-001, 0.00000000E+000,-0.27738655E-001,-0.22187799E-001,-0.21546143E-001,-0.41881352E-002, 0.13512352E+000, 0.00000000E+000, 0.00000000E+000,
38,0, 0.19000000E+002, 0.50000000E+000, 0.11411337E+001, 0.23241441E-001, 0.19260524E+002, 0.55716100E-001, 0.63295501E-001, 0.00000000E+000,-0.30379785E-001,-0.24363290E-001,-0.24170284E-001,-0.50871993E-002, 0.14729606E+000, 0.00000000E+000, 0.00000000E+000,
39,0, 0.19500000E+002, 0.50000000E+000, 0.11547234E+001, 0.24122533E-001, 0.19806679E+002, 0.55849534E-001, 0.67160485E-001, 0.00000000E+000,-0.33128688E-001,-0.26606538E-001,-0.26900729E-001,-0.60894212E-002, 0.15988586E+000, 0.00000000E+000, 0.00000000E+000,
40,0, 0.20000000E+002, 0.50000000E+000, 0.11690902E+001, 0.25256453E-001, 0.20359858E+002, 0.55992072E-001, 0.71125492E-001, 0.00000000E+000,-0.35968229E-001,-0.28932929E-001,-0.29739871E-001,-0.71968199E-002, 0.17296334E+000, 0.00000000E+000, 0.00000000E+000,
41,0, 0.20100000E+002, 0.10000000E+000, 0.11696575E+001, 0.15384503E-002, 0.20471552E+002, 0.56021189E-001, 0.69998051E-001, 0.00000000E+000,-0.36543646E-001,-0.31353438E-001,-0.30321153E-001,-0.74235479E-002, 0.17563984E+000, 0.00000000E+000, 0.00000000E+000,
42,0, 0.20200000E+002, 0.10000000E+000, 0.11724684E+001, 0.33578297E-001, 0.20584436E+002, 0.56050046E-001, 0.70791730E-001, 0.00000000E+000,-0.37079232E-001,-0.31848134E-001,-0.30906940E-001,-0.76555109E-002, 0.17828155E+000, 0.00000000E+000, 0.00000000E+000,
43,0, 0.20300000E+002, 0.10000000E+000, 0.11752654E+001, 0.23739956E-001, 0.20696567E+002, 0.56079399E-001, 0.71511677E-001, 0.00000000E+000,-0.37636229E-001,-0.32329286E-001,-0.31497111E-001,-0.78926818E-002, 0.18086698E+000, 0.00000000E+000, 0.00000000E+000,
