TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184213E+003, 0.78175149E+003, 0.78214325E+003, 0.12058434E+004, 0.00000000E+000, 0.78169095E+003, 0.00000000E+000, 0.78184214E+003, 0.78154760E+003, 0.30917178E-001, 0.30917178E-001, 0.78184211E+003, 0.62815000E+003,
 0.10000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184218E+003, 0.78175153E+003, 0.78214328E+003, 0.12058478E+004, 0.00000000E+000, 0.78169100E+003, 0.00000000E+000, 0.78184219E+003, 0.78154764E+003, 0.30913569E-001, 0.30913569E-001, 0.78184212E+003, 0.62815000E+003,
 0.15000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184225E+003, 0.78175161E+003, 0.78214334E+003, 0.12058512E+004, 0.00000000E+000, 0.78169107E+003, 0.00000000E+000, 0.78184228E+003, 0.78154771E+003, 0.30909721E-001, 0.30909721E-001, 0.78184214E+003, 0.62815000E+003,
 0.20000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184236E+003, 0.78175171E+003, 0.78214343E+003, 0.12058534E+004, 0.00000000E+000, 0.78169118E+003, 0.00000000E+000, 0.78184239E+003, 0.78154781E+003, 0.30906083E-001, 0.30906083E-001, 0.78184218E+003, 0.62814999E+003,
 0.25000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184249E+003, 0.78175186E+003, 0.78214356E+003, 0.12058547E+004, 0.00000000E+000, 0.78169133E+003, 0.00000000E+000, 0.78184254E+003, 0.78154795E+003, 0.30903180E-001, 0.30903180E-001, 0.78184225E+003, 0.62814968E+003,
 0.30000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184266E+003, 0.78175204E+003, 0.78214372E+003, 0.12058554E+004, 0.00000000E+000, 0.78169152E+003, 0.00000000E+000, 0.78184271E+003, 0.78154812E+003, 0.30900879E-001, 0.30900879E-001, 0.78184234E+003, 0.62814871E+003,
 0.35000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184285E+003, 0.78175227E+003, 0.78214392E+003, 0.12058556E+004, 0.00000000E+000, 0.78169175E+003, 0.00000000E+000, 0.78184292E+003, 0.78154834E+003, 0.30899108E-001, 0.30899108E-001, 0.78184245E+003, 0.62814694E+003,
 0.40000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184309E+003, 0.78175254E+003, 0.78214416E+003, 0.12058556E+004, 0.00000000E+000, 0.78169203E+003, 0.00000000E+000, 0.78184316E+003, 0.78154861E+003, 0.30897756E-001, 0.30897756E-001, 0.78184258E+003, 0.62814432E+003,
 0.45000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184336E+003, 0.78175288E+003, 0.78214445E+003, 0.12058554E+004, 0.00000000E+000, 0.78169238E+003, 0.00000000E+000, 0.78184345E+003, 0.78154893E+003, 0.30896732E-001, 0.30896732E-001, 0.78184275E+003, 0.62814093E+003,
 0.50000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184369E+003, 0.78175328E+003, 0.78214480E+003, 0.12058552E+004, 0.00000000E+000, 0.78169279E+003, 0.00000000E+000, 0.78184380E+003, 0.78154933E+003, 0.30895966E-001, 0.30895966E-001, 0.78184295E+003, 0.62813691E+003,
 0.55000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184408E+003, 0.78175376E+003, 0.78214521E+003, 0.12058550E+004, 0.00000000E+000, 0.78169329E+003, 0.00000000E+000, 0.78184421E+003, 0.78154981E+003, 0.30895398E-001, 0.30895398E-001, 0.78184320E+003, 0.62813241E+003,
 0.60000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184455E+003, 0.78175434E+003, 0.78214570E+003, 0.12058548E+004, 0.00000000E+000, 0.78169388E+003, 0.00000000E+000, 0.78184470E+003, 0.78155039E+003, 0.30894984E-001, 0.30894984E-001, 0.78184349E+003, 0.62812763E+003,
 0.65000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184511E+003, 0.78175502E+003, 0.78214628E+003, 0.12058547E+004, 0.00000000E+000, 0.78169458E+003, 0.00000000E+000, 0.78184528E+003, 0.78155108E+003, 0.30894689E-001, 0.30894689E-001, 0.78184384E+003, 0.62812273E+003,
 0.70000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184577E+003, 0.78175583E+003, 0.78214696E+003, 0.12058547E+004, 0.00000000E+000, 0.78169541E+003, 0.00000000E+000, 0.78184598E+003, 0.78155189E+003, 0.30894485E-001, 0.30894485E-001, 0.78184425E+003, 0.62811787E+003,
 0.75000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184655E+003, 0.78175679E+003, 0.78214778E+003, 0.12058548E+004, 0.00000000E+000, 0.78169639E+003, 0.00000000E+000, 0.78184680E+003, 0.78155284E+003, 0.30894350E-001, 0.30894350E-001, 0.78184475E+003, 0.62811317E+003,
 0.80000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184747E+003, 0.78175790E+003, 0.78214873E+003, 0.12058549E+004, 0.00000000E+000, 0.78169753E+003, 0.00000000E+000, 0.78184776E+003, 0.78155396E+003, 0.30894267E-001, 0.30894267E-001, 0.78184533E+003, 0.62810870E+003,
 0.85000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184854E+003, 0.78175918E+003, 0.78214983E+003, 0.12058551E+004, 0.00000000E+000, 0.78169885E+003, 0.00000000E+000, 0.78184888E+003, 0.78155525E+003, 0.30894225E-001, 0.30894225E-001, 0.78184603E+003, 0.62810453E+003,
 0.90000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78184979E+003, 0.78176066E+003, 0.78215112E+003, 0.12058554E+004, 0.00000000E+000, 0.78170036E+003, 0.00000000E+000, 0.78185018E+003, 0.78155673E+003, 0.30894211E-001, 0.30894211E-001, 0.78184684E+003, 0.62810068E+003,
 0.95000000E+001, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78185122E+003, 0.78176235E+003, 0.78215259E+003, 0.12058557E+004, 0.00000000E+000, 0.78170209E+003, 0.00000000E+000, 0.78185168E+003, 0.78155841E+003, 0.30894220E-001, 0.30894220E-001, 0.78184780E+003, 0.62809715E+003,
 0.10000000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78185286E+003, 0.78176426E+003, 0.78215427E+003, 0.12058561E+004, 0.00000000E+000, 0.78170404E+003, 0.00000000E+000, 0.78185339E+003, 0.78156032E+003, 0.30894243E-001, 0.30894243E-001, 0.78184890E+003, 0.62809394E+003,
 0.10500000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78185472E+003, 0.78176641E+003, 0.78215617E+003, 0.12058565E+004, 0.00000000E+000, 0.78170623E+003, 0.00000000E+000, 0.78185531E+003, 0.78156246E+003, 0.30894278E-001, 0.30894278E-001, 0.78185017E+003, 0.62809104E+003,
 0.11000000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78185687E+003, 0.78176884E+003, 0.78215832E+003, 0.12058566E+004, 0.00000000E+000, 0.78170871E+003, 0.00000000E+000, 0.78185757E+003, 0.78156490E+003, 0.30879758E-001, 0.30879758E-001, 0.78185163E+003, 0.62808840E+003,
 0.11500000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78186581E+003, 0.78177586E+003, 0.78216182E+003, 0.12058279E+004, 0.00000000E+000, 0.78171668E+003, 0.00000000E+000, 0.78186954E+003, 0.78157330E+003, 0.29457441E-001, 0.29457441E-001, 0.78185353E+003, 0.62808602E+003,
 0.12000000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78188607E+003, 0.78179386E+003, 0.78217426E+003, 0.12058042E+004, 0.00000000E+000, 0.78173575E+003, 0.00000000E+000, 0.78189338E+003, 0.78159133E+003, 0.28137472E-001, 0.28137472E-001, 0.78185746E+003, 0.62808365E+003,
 0.12500000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78191565E+003, 0.78182316E+003, 0.78219969E+003, 0.12057717E+004, 0.00000000E+000, 0.78176575E+003, 0.00000000E+000, 0.78192621E+003, 0.78161816E+003, 0.26935714E-001, 0.26935714E-001, 0.78186609E+003, 0.62808154E+003,
 0.13000000E+002, 0.29375000E+001, 0.29375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.78195453E+003, 0.78186353E+003, 0.78223684E+003, 0.12057193E+004, 0.00000000E+000, 0.78180688E+003, 0.00000000E+000, 0.78196914E+003, 0.78165526E+003, 0.25820775E-001, 0.25820775E-001, 0.78188047E+003, 0.62807988E+003,
