 ISTEP , IPRSTP ,NBNTOT, TIME ,ARRAY(002),ARRAY(003),ARRAY(004),
0,0,4, 0.00000000E+000, 0.17721399E+005, 0.45150000E+004, 0.78340451E+003,
1,1,4, 0.31250000E-001, 0.17720938E+005, 0.45151648E+004, 0.78340451E+003,
1,2,4, 0.60546875E-001, 0.17719887E+005, 0.45153253E+004, 0.78340451E+003,
1,3,4, 0.88012695E-001, 0.17718488E+005, 0.45154721E+004, 0.78340451E+003,
1,4,4, 0.11017393E+000, 0.17717332E+005, 0.45155883E+004, 0.78340451E+003,
1,5,4, 0.13627012E+000, 0.17716404E+005, 0.45157233E+004, 0.78340451E+003,
1,6,4, 0.17831624E+000, 0.17716404E+005, 0.45159353E+004, 0.78340451E+003,
1,7,4, 0.32623749E+000, 0.17719000E+005, 0.45166104E+004, 0.78340451E+003,
1,8,4, 0.50000000E+000, 0.17719144E+005, 0.45172975E+004, 0.78340451E+003,
2,9,4, 0.10000000E+001, 0.17716952E+005, 0.45188460E+004, 0.78340451E+003,
3,10,4, 0.15000000E+001, 0.17714578E+005, 0.45201802E+004, 0.78340452E+003,
4,11,4, 0.20000000E+001, 0.17712300E+005, 0.45213406E+004, 0.78340455E+003,
5,12,4, 0.25000000E+001, 0.17710442E+005, 0.45222803E+004, 0.78340463E+003,
6,13,4, 0.30000000E+001, 0.17708955E+005, 0.45230075E+004, 0.78340478E+003,
7,14,4, 0.35000000E+001, 0.17707793E+005, 0.45235817E+004, 0.78340500E+003,
8,15,4, 0.40000000E+001, 0.17706892E+005, 0.45240489E+004, 0.78340531E+003,
9,16,4, 0.45000000E+001, 0.17706197E+005, 0.45244272E+004, 0.78340568E+003,
10,17,4, 0.50000000E+001, 0.17705666E+005, 0.45247257E+004, 0.78340613E+003,
11,18,4, 0.55000000E+001, 0.17705263E+005, 0.45249577E+004, 0.78340664E+003,
12,19,4, 0.60000000E+001, 0.17704960E+005, 0.45251381E+004, 0.78340720E+003,
13,20,4, 0.65000000E+001, 0.17704736E+005, 0.45252786E+004, 0.78340780E+003,
14,21,4, 0.70000000E+001, 0.17704574E+005, 0.45253882E+004, 0.78340842E+003,
15,22,4, 0.75000000E+001, 0.17704461E+005, 0.45254743E+004, 0.78340907E+003,
16,23,4, 0.80000000E+001, 0.17704385E+005, 0.45255433E+004, 0.78340973E+003,
17,24,4, 0.85000000E+001, 0.17704338E+005, 0.45256007E+004, 0.78341039E+003,
18,25,4, 0.90000000E+001, 0.17704315E+005, 0.45256504E+004, 0.78341105E+003,
19,26,4, 0.95000000E+001, 0.17704309E+005, 0.45256948E+004, 0.78341170E+003,
20,27,4, 0.10000000E+002, 0.17704317E+005, 0.45257354E+004, 0.78341233E+003,
21,28,4, 0.10500000E+002, 0.17704334E+005, 0.45257732E+004, 0.78341295E+003,
22,29,4, 0.11000000E+002, 0.17698793E+005, 0.45094369E+004, 0.78341354E+003,
23,30,4, 0.11045229E+002, 0.17674672E+005, 0.44921481E+004, 0.78341359E+003,
23,31,4, 0.11078371E+002, 0.17643535E+005, 0.44754303E+004, 0.78341363E+003,
23,32,4, 0.11109212E+002, 0.17610492E+005, 0.44571038E+004, 0.78341367E+003,
23,33,4, 0.11141400E+002, 0.17574417E+005, 0.44359617E+004, 0.78341370E+003,
23,34,4, 0.11178054E+002, 0.17531738E+005, 0.44102825E+004, 0.78341374E+003,
23,35,4, 0.11222976E+002, 0.17478094E+005, 0.43775967E+004, 0.78341379E+003,
23,36,4, 0.11292232E+002, 0.17394835E+005, 0.43265989E+004, 0.78341387E+003,
23,37,4, 0.11361043E+002, 0.17311979E+005, 0.42775887E+004, 0.78341394E+003,
23,38,4, 0.11439820E+002, 0.17218720E+005, 0.42246468E+004, 0.78341403E+003,
23,39,4, 0.11500000E+002, 0.17147592E+005, 0.41866878E+004, 0.78341410E+003,
24,40,4, 0.11625000E+002, 0.17003761E+005, 0.41161828E+004, 0.78341423E+003,
24,41,4, 0.11761932E+002, 0.16847452E+005, 0.40486398E+004, 0.78341459E+003,
24,42,4, 0.11929289E+002, 0.16661161E+005, 0.39744349E+004, 0.78341534E+003,
24,43,4, 0.12000000E+002, 0.16581881E+005, 0.39442722E+004, 0.78341571E+003,
25,44,4, 0.12246738E+002, 0.16319642E+005, 0.38355671E+004, 0.78341711E+003,
25,45,4, 0.12500000E+002, 0.16055743E+005, 0.37151961E+004, 0.78342007E+003,
26,46,4, 0.13000000E+002, 0.15558877E+005, 0.34794483E+004, 0.78342989E+003,
27,47,4, 0.13500000E+002, 0.15096137E+005, 0.32786243E+004, 0.78344694E+003,
28,48,4, 0.14000000E+002, 0.14663868E+005, 0.31146551E+004, 0.78347827E+003,
