ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000231E+001, 0.69189686E-004, 0.50000555E+000, 0.54682614E-001, 0.21395379E-004, 0.00000000E+000,-0.11766952E-005, 0.00000000E+000, 0.00000000E+000, 0.22496938E-007, 0.22549577E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000632E+001, 0.97319207E-004, 0.10000263E+001, 0.54682692E-001, 0.55380589E-004, 0.00000000E+000,-0.67354983E-005,-0.28090146E-005,-0.13891904E-005, 0.80937711E-007, 0.66233355E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10001078E+001, 0.93743996E-004, 0.15000689E+001, 0.54682839E-001, 0.88184475E-004, 0.00000000E+000,-0.15932157E-004,-0.97962089E-005,-0.46054334E-005, 0.16589598E-006, 0.11835238E-003, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10001584E+001, 0.10705652E-003, 0.20001352E+001, 0.54683050E-001, 0.12247680E-003, 0.00000000E+000,-0.27232015E-004,-0.18942708E-004,-0.94804620E-005, 0.16903586E-006, 0.17796295E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10002065E+001, 0.93693245E-004, 0.25002265E+001, 0.54683321E-001, 0.15029963E-003, 0.00000000E+000,-0.40030626E-004,-0.29459159E-004,-0.15466298E-004,-0.62269742E-007, 0.23531798E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10002510E+001, 0.85438418E-004, 0.30003410E+001, 0.54683635E-001, 0.17223124E-003, 0.00000000E+000,-0.52726522E-004,-0.40224596E-004,-0.21966016E-004,-0.67440958E-006, 0.28782278E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10002895E+001, 0.70995278E-004, 0.35004764E+001, 0.54683979E-001, 0.18695304E-003, 0.00000000E+000,-0.64636377E-004,-0.50213685E-004,-0.28396224E-004,-0.17971486E-005, 0.33199647E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10003221E+001, 0.59229752E-004, 0.40006295E+001, 0.54684337E-001, 0.19568952E-003, 0.00000000E+000,-0.75092895E-004,-0.58957400E-004,-0.34319161E-004,-0.35219271E-005, 0.36758091E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10003479E+001, 0.44724181E-004, 0.45007973E+001, 0.54684699E-001, 0.19833895E-003, 0.00000000E+000,-0.83869999E-004,-0.66152291E-004,-0.39424369E-004,-0.58944700E-005, 0.39368008E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10003671E+001, 0.32014671E-004, 0.50009762E+001, 0.54685052E-001, 0.19594098E-003, 0.00000000E+000,-0.90762585E-004,-0.71708489E-004,-0.43544165E-004,-0.89212760E-005, 0.41087749E-003, 0.00000000E+000, 0.00000000E+000,
11,0, 0.55000000E+001, 0.50000000E+000, 0.10003798E+001, 0.18640538E-004, 0.55011632E+001, 0.54685389E-001, 0.18888046E-003, 0.00000000E+000,-0.95785421E-004,-0.75605114E-004,-0.46618979E-004,-0.12572705E-004, 0.41946268E-003, 0.00000000E+000, 0.00000000E+000,
12,0, 0.60000000E+001, 0.50000000E+000, 0.10003863E+001, 0.68214842E-005, 0.60013549E+001, 0.54685702E-001, 0.17806212E-003, 0.00000000E+000,-0.98969765E-004,-0.77928269E-004,-0.48674477E-004,-0.16791807E-004, 0.42042644E-003, 0.00000000E+000, 0.00000000E+000,
13,0, 0.65000000E+001, 0.50000000E+000, 0.10003869E+001,-0.44496605E-005, 0.65015484E+001, 0.54685985E-001, 0.16409207E-003, 0.00000000E+000,-0.10045655E-003,-0.78796436E-004,-0.49786909E-004,-0.21500090E-004, 0.41463205E-003, 0.00000000E+000, 0.00000000E+000,
14,0, 0.70000000E+001, 0.50000000E+000, 0.10003825E+001,-0.14148191E-004, 0.70017409E+001, 0.54686233E-001, 0.14778319E-003, 0.00000000E+000,-0.10039839E-003,-0.78381371E-004,-0.50058984E-004,-0.26604932E-004, 0.40322686E-003, 0.00000000E+000, 0.00000000E+000,
15,0, 0.75000000E+001, 0.50000000E+000, 0.10003734E+001,-0.22683627E-004, 0.75019300E+001, 0.54686445E-001, 0.12979072E-003, 0.00000000E+000,-0.98997155E-004,-0.76864566E-004,-0.49598959E-004,-0.32005243E-004, 0.38725665E-003, 0.00000000E+000, 0.00000000E+000,
16,0, 0.80000000E+001, 0.50000000E+000, 0.10003605E+001,-0.29729796E-004, 0.80021136E+001, 0.54686618E-001, 0.11078696E-003, 0.00000000E+000,-0.96454469E-004,-0.74444938E-004,-0.48518258E-004,-0.37596778E-004, 0.36780140E-003, 0.00000000E+000, 0.00000000E+000,
17,0, 0.85000000E+001, 0.50000000E+000, 0.10003443E+001,-0.35530415E-004, 0.85022899E+001, 0.54686752E-001, 0.91316835E-004, 0.00000000E+000,-0.92980994E-004,-0.71311375E-004,-0.46918689E-004,-0.43276633E-004, 0.34580453E-003, 0.00000000E+000, 0.00000000E+000,
18,0, 0.90000000E+001, 0.50000000E+000, 0.10003255E+001,-0.40156328E-004, 0.90024574E+001, 0.54686849E-001, 0.71835701E-004, 0.00000000E+000,-0.88771601E-004,-0.67644085E-004,-0.44912121E-004,-0.48946585E-004, 0.32211009E-003, 0.00000000E+000, 0.00000000E+000,
19,0, 0.95000000E+001, 0.50000000E+000, 0.10003047E+001,-0.43720429E-004, 0.95026150E+001, 0.54686908E-001, 0.52711812E-004, 0.00000000E+000,-0.84004976E-004,-0.63599066E-004,-0.42580335E-004,-0.54516047E-004, 0.29741224E-003, 0.00000000E+000, 0.00000000E+000,
20,0, 0.10000000E+002, 0.50000000E+000, 0.10002823E+001,-0.46436904E-004, 0.10002762E+002, 0.54686933E-001, 0.34203572E-004, 0.00000000E+000,-0.78837099E-004,-0.59310819E-004,-0.40020246E-004,-0.59903686E-004, 0.27227542E-003, 0.00000000E+000, 0.00000000E+000,
21,0, 0.10500000E+002, 0.50000000E+000, 0.10002587E+001,-0.48373497E-004, 0.10502897E+002, 0.54686924E-001, 0.16510378E-004, 0.00000000E+000,-0.73399135E-004,-0.54887377E-004,-0.37299630E-004,-0.65038794E-004, 0.24713531E-003, 0.00000000E+000, 0.00000000E+000,
22,0, 0.11000000E+002, 0.50000000E+000, 0.10002748E+001, 0.72101601E-004, 0.11003029E+002, 0.54686919E-001, 0.38284042E-004, 0.00000000E+000,-0.69951053E-004,-0.50414993E-004,-0.35034372E-004,-0.69861542E-004, 0.26354600E-003, 0.00000000E+000, 0.00000000E+000,
23,0, 0.11500000E+002, 0.50000000E+000, 0.10044240E+001, 0.12402146E-001, 0.11476878E+002, 0.54690491E-001, 0.39487019E-002, 0.00000000E+000,-0.29129503E-003,-0.51085672E-004,-0.88137266E-004,-0.74425942E-004, 0.44536458E-002, 0.00000000E+000, 0.00000000E+000,
24,0, 0.12000000E+002, 0.50000000E+000, 0.10125218E+001, 0.19950048E-001, 0.11954447E+002, 0.54705465E-001, 0.10734824E-001, 0.00000000E+000,-0.13386799E-002,-0.57400052E-003,-0.34845279E-003,-0.80373719E-004, 0.13076331E-001, 0.00000000E+000, 0.00000000E+000,
25,0, 0.12500000E+002, 0.50000000E+000, 0.10217376E+001, 0.19152203E-001, 0.12436469E+002, 0.54734752E-001, 0.17335803E-001, 0.00000000E+000,-0.31368154E-002,-0.19280082E-002,-0.95720190E-003,-0.95533216E-004, 0.23453362E-001, 0.00000000E+000, 0.00000000E+000,
26,0, 0.13000000E+002, 0.50000000E+000, 0.10322308E+001, 0.21591966E-001, 0.12924242E+002, 0.54777609E-001, 0.24101673E-001, 0.00000000E+000,-0.53290689E-002,-0.37425222E-002,-0.19600860E-002,-0.13708132E-003, 0.35270431E-001, 0.00000000E+000, 0.00000000E+000,
27,0, 0.13500000E+002, 0.50000000E+000, 0.10435493E+001, 0.22498602E-001, 0.13422606E+002, 0.54834051E-001, 0.30614934E-001, 0.00000000E+000,-0.78764369E-002,-0.58180105E-002,-0.33483488E-002,-0.22604931E-003, 0.47883780E-001, 0.00000000E+000, 0.00000000E+000,
28,0, 0.14000000E+002, 0.50000000E+000, 0.10559030E+001, 0.24400656E-001, 0.13926853E+002, 0.54903725E-001, 0.37136903E-001, 0.00000000E+000,-0.10649643E-001,-0.80920666E-002,-0.50952309E-002,-0.38693673E-003, 0.61360781E-001, 0.00000000E+000, 0.00000000E+000,
29,0, 0.14500000E+002, 0.50000000E+000, 0.10691509E+001, 0.25636632E-001, 0.14444349E+002, 0.54986690E-001, 0.43530373E-001, 0.00000000E+000,-0.13627628E-001,-0.10525723E-001,-0.71681661E-002,-0.64407436E-003, 0.75495964E-001, 0.00000000E+000, 0.00000000E+000,
30,0, 0.15000000E+002, 0.50000000E+000, 0.10833550E+001, 0.27125215E-001, 0.14982435E+002, 0.55082882E-001, 0.49865256E-001, 0.00000000E+000,-0.16742630E-001,-0.13100459E-001,-0.95311880E-002,-0.10161936E-002, 0.90255727E-001, 0.00000000E+000, 0.00000000E+000,
31,0, 0.15500000E+002, 0.50000000E+000, 0.10985930E+001, 0.28704835E-001, 0.15527879E+002, 0.55192496E-001, 0.56192215E-001, 0.00000000E+000,-0.20029969E-001,-0.15787746E-001,-0.12154861E-001,-0.15216861E-002, 0.10568648E+000, 0.00000000E+000, 0.00000000E+000,
32,0, 0.16000000E+002, 0.50000000E+000, 0.11149527E+001, 0.30377762E-001, 0.16067412E+002, 0.55315894E-001, 0.62552277E-001, 0.00000000E+000,-0.23494554E-001,-0.18602570E-001,-0.15016245E-001,-0.21737267E-002, 0.12183937E+000, 0.00000000E+000, 0.00000000E+000,
33,0, 0.16500000E+002, 0.50000000E+000, 0.11324772E+001, 0.32004486E-001, 0.16602395E+002, 0.55453553E-001, 0.68937817E-001, 0.00000000E+000,-0.27070997E-001,-0.21560730E-001,-0.18101113E-001,-0.29846806E-002, 0.13865534E+000, 0.00000000E+000, 0.00000000E+000,
34,0, 0.17000000E+002, 0.50000000E+000, 0.11512759E+001, 0.33794699E-001, 0.17147252E+002, 0.55606037E-001, 0.75392264E-001, 0.00000000E+000,-0.30769163E-001,-0.24637934E-001,-0.21396675E-001,-0.39648634E-002, 0.15616090E+000, 0.00000000E+000, 0.00000000E+000,
35,0, 0.17500000E+002, 0.50000000E+000, 0.11715691E+001, 0.35956178E-001, 0.17703539E+002, 0.55774172E-001, 0.82020122E-001, 0.00000000E+000,-0.34651721E-001,-0.27836937E-001,-0.24891825E-001,-0.51233125E-002, 0.17452392E+000, 0.00000000E+000, 0.00000000E+000,
36,0, 0.18000000E+002, 0.50000000E+000, 0.11935462E+001, 0.38281342E-001, 0.18273804E+002, 0.55959092E-001, 0.88867735E-001, 0.00000000E+000,-0.38698044E-001,-0.31198493E-001,-0.28583560E-001,-0.64677217E-002, 0.19381555E+000, 0.00000000E+000, 0.00000000E+000,
37,0, 0.18500000E+002, 0.50000000E+000, 0.12171567E+001, 0.40181465E-001, 0.18862408E+002, 0.56161928E-001, 0.95798102E-001, 0.00000000E+000,-0.42878314E-001,-0.34730978E-001,-0.32469750E-001,-0.80049214E-002, 0.21388207E+000, 0.00000000E+000, 0.00000000E+000,
38,0, 0.19000000E+002, 0.50000000E+000, 0.12429584E+001, 0.43341550E-001, 0.19450967E+002, 0.56384031E-001, 0.10311733E+000, 0.00000000E+000,-0.47251583E-001,-0.38388342E-001,-0.36546851E-001,-0.97411323E-002, 0.23504524E+000, 0.00000000E+000, 0.00000000E+000,
39,0, 0.19500000E+002, 0.50000000E+000, 0.12711964E+001, 0.46415710E-001, 0.20054685E+002, 0.56627499E-001, 0.11081301E+000, 0.00000000E+000,-0.51905407E-001,-0.42252424E-001,-0.40818577E-001,-0.11681775E-001, 0.25747119E+000, 0.00000000E+000, 0.00000000E+000,
40,0, 0.20000000E+002, 0.50000000E+000, 0.13021405E+001, 0.49688481E-001, 0.20676629E+002, 0.56894530E-001, 0.11888700E+000, 0.00000000E+000,-0.56805835E-001,-0.46366430E-001,-0.45291917E-001,-0.13832104E-001, 0.28118329E+000, 0.00000000E+000, 0.00000000E+000,
41,0, 0.20100000E+002, 0.10000000E+000, 0.13035527E+001, 0.46293519E-002, 0.20804084E+002, 0.56949846E-001, 0.11706508E+000, 0.00000000E+000,-0.57815897E-001,-0.50713063E-001,-0.46211179E-001,-0.14272570E-001, 0.28607779E+000, 0.00000000E+000, 0.00000000E+000,
42,0, 0.20200000E+002, 0.10000000E+000, 0.13097707E+001, 0.65960026E-001, 0.20929099E+002, 0.57004830E-001, 0.11871927E+000, 0.00000000E+000,-0.58774245E-001,-0.51608742E-001,-0.47138727E-001,-0.14723432E-001, 0.29096442E+000, 0.00000000E+000, 0.00000000E+000,
43,0, 0.20300000E+002, 0.10000000E+000, 0.13160737E+001, 0.48218982E-001, 0.21055045E+002, 0.57061112E-001, 0.12028901E+000, 0.00000000E+000,-0.59776678E-001,-0.52494095E-001,-0.48074211E-001,-0.15184670E-001, 0.29581867E+000, 0.00000000E+000, 0.00000000E+000,
44,0, 0.20400000E+002, 0.10000000E+000, 0.13225355E+001, 0.49463413E-001, 0.21181443E+002, 0.57118422E-001, 0.12189026E+000, 0.00000000E+000,-0.60796776E-001,-0.53386942E-001,-0.49017204E-001,-0.15656263E-001, 0.30074745E+000, 0.00000000E+000, 0.00000000E+000,
45,0, 0.20500000E+002, 0.10000000E+000, 0.13291699E+001, 0.50569074E-001, 0.21308670E+002, 0.57176789E-001, 0.12353369E+000, 0.00000000E+000,-0.61819346E-001,-0.54302393E-001,-0.49967726E-001,-0.16138193E-001, 0.30576135E+000, 0.00000000E+000, 0.00000000E+000,
46,0, 0.20600000E+002, 0.10000000E+000, 0.13359468E+001, 0.51265353E-001, 0.21436919E+002, 0.57236241E-001, 0.12519817E+000, 0.00000000E+000,-0.62856851E-001,-0.55225481E-001,-0.50925945E-001,-0.16630444E-001, 0.31083689E+000, 0.00000000E+000, 0.00000000E+000,
47,0, 0.20700000E+002, 0.10000000E+000, 0.13428784E+001, 0.52198959E-001, 0.21566565E+002, 0.57296802E-001, 0.12689127E+000, 0.00000000E+000,-0.63891393E-001,-0.56164952E-001,-0.51891722E-001,-0.17132996E-001, 0.31597234E+000, 0.00000000E+000, 0.00000000E+000,
48,0, 0.20800000E+002, 0.10000000E+000, 0.13499142E+001, 0.52508867E-001, 0.21698338E+002, 0.57358493E-001, 0.12857782E+000, 0.00000000E+000,-0.64947178E-001,-0.57110563E-001,-0.52864979E-001,-0.17645833E-001, 0.32114637E+000, 0.00000000E+000, 0.00000000E+000,
49,0, 0.20900000E+002, 0.10000000E+000, 0.13571109E+001, 0.53627892E-001, 0.21833688E+002, 0.57421331E-001, 0.13029562E+000, 0.00000000E+000,-0.66014844E-001,-0.58062895E-001,-0.53845930E-001,-0.18168940E-001, 0.32638823E+000, 0.00000000E+000, 0.00000000E+000,
50,0, 0.21000000E+002, 0.10000000E+000, 0.13644730E+001, 0.54567013E-001, 0.21969766E+002, 0.57485353E-001, 0.13204391E+000, 0.00000000E+000,-0.67107155E-001,-0.59032446E-001,-0.54834648E-001,-0.18702306E-001, 0.33172047E+000, 0.00000000E+000, 0.00000000E+000,
51,0, 0.21100000E+002, 0.10000000E+000, 0.13719872E+001, 0.55328166E-001, 0.22106587E+002, 0.57550591E-001, 0.13381130E+000, 0.00000000E+000,-0.68234543E-001,-0.60019464E-001,-0.55830974E-001,-0.19245919E-001, 0.33714220E+000, 0.00000000E+000, 0.00000000E+000,
52,0, 0.21200000E+002, 0.10000000E+000, 0.13797004E+001, 0.56633655E-001, 0.22244170E+002, 0.57617080E-001, 0.13562570E+000, 0.00000000E+000,-0.69368283E-001,-0.61024960E-001,-0.56834796E-001,-0.19799770E-001, 0.34265351E+000, 0.00000000E+000, 0.00000000E+000,
53,0, 0.21300000E+002, 0.10000000E+000, 0.13876132E+001, 0.57750588E-001, 0.22382534E+002, 0.57684868E-001, 0.13748248E+000, 0.00000000E+000,-0.70516441E-001,-0.62044812E-001,-0.57846122E-001,-0.20363854E-001, 0.34825371E+000, 0.00000000E+000, 0.00000000E+000,
54,0, 0.21400000E+002, 0.10000000E+000, 0.13957572E+001, 0.59184422E-001, 0.22521701E+002, 0.57754006E-001, 0.13939740E+000, 0.00000000E+000,-0.71681173E-001,-0.63080959E-001,-0.58864966E-001,-0.20938168E-001, 0.35396267E+000, 0.00000000E+000, 0.00000000E+000,
55,0, 0.21500000E+002, 0.10000000E+000, 0.14041296E+001, 0.60448882E-001, 0.22661693E+002, 0.57824550E-001, 0.14136314E+000, 0.00000000E+000,-0.72855929E-001,-0.64141738E-001,-0.59891252E-001,-0.21522710E-001, 0.35977476E+000, 0.00000000E+000, 0.00000000E+000,
56,0, 0.21600000E+002, 0.10000000E+000, 0.14127139E+001, 0.61522287E-001, 0.22802534E+002, 0.57896549E-001, 0.14336493E+000, 0.00000000E+000,-0.74041010E-001,-0.65220184E-001,-0.60924746E-001,-0.22117478E-001, 0.36566835E+000, 0.00000000E+000, 0.00000000E+000,
