TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.10000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601032E+003, 0.82671855E+003, 0.87622797E+003, 0.12091738E+004, 0.00000000E+000, 0.82610046E+003, 0.00000000E+000, 0.82601032E+003, 0.82593467E+003, 0.15857993E+000, 0.15857993E+000, 0.82601030E+003, 0.62815000E+003,
 0.20000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601035E+003, 0.82671911E+003, 0.87622821E+003, 0.12091805E+004, 0.00000000E+000, 0.82610049E+003, 0.00000000E+000, 0.82601036E+003, 0.82593471E+003, 0.15858295E+000, 0.15858295E+000, 0.82601030E+003, 0.62815000E+003,
 0.30000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601039E+003, 0.82671988E+003, 0.87622883E+003, 0.12091810E+004, 0.00000000E+000, 0.82610053E+003, 0.00000000E+000, 0.82601040E+003, 0.82593476E+003, 0.15860443E+000, 0.15860443E+000, 0.82601030E+003, 0.62815000E+003,
 0.40000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601045E+003, 0.82672061E+003, 0.87622963E+003, 0.12091802E+004, 0.00000000E+000, 0.82610059E+003, 0.00000000E+000, 0.82601047E+003, 0.82593483E+003, 0.15860317E+000, 0.15860317E+000, 0.82601030E+003, 0.62815000E+003,
 0.50000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601055E+003, 0.82672132E+003, 0.87623054E+003, 0.12091809E+004, 0.00000000E+000, 0.82610069E+003, 0.00000000E+000, 0.82601057E+003, 0.82593494E+003, 0.15859735E+000, 0.15859735E+000, 0.82601031E+003, 0.62815000E+003,
 0.60000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601070E+003, 0.82672211E+003, 0.87623156E+003, 0.12091822E+004, 0.00000000E+000, 0.82610083E+003, 0.00000000E+000, 0.82601074E+003, 0.82593510E+003, 0.15859573E+000, 0.15859573E+000, 0.82601032E+003, 0.62815000E+003,
 0.70000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601090E+003, 0.82672296E+003, 0.87623261E+003, 0.12091830E+004, 0.00000000E+000, 0.82610101E+003, 0.00000000E+000, 0.82601095E+003, 0.82593530E+003, 0.15859413E+000, 0.15859413E+000, 0.82601034E+003, 0.62815000E+003,
 0.80000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601115E+003, 0.82672388E+003, 0.87623367E+003, 0.12091836E+004, 0.00000000E+000, 0.82610124E+003, 0.00000000E+000, 0.82601121E+003, 0.82593555E+003, 0.15859039E+000, 0.15859039E+000, 0.82601037E+003, 0.62815000E+003,
 0.90000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601145E+003, 0.82672489E+003, 0.87623477E+003, 0.12091843E+004, 0.00000000E+000, 0.82610152E+003, 0.00000000E+000, 0.82601153E+003, 0.82593584E+003, 0.15858590E+000, 0.15858590E+000, 0.82601043E+003, 0.62815000E+003,
 0.10000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601180E+003, 0.82672603E+003, 0.87623596E+003, 0.12091850E+004, 0.00000000E+000, 0.82610185E+003, 0.00000000E+000, 0.82601189E+003, 0.82593618E+003, 0.15858156E+000, 0.15858156E+000, 0.82601052E+003, 0.62815000E+003,
