ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.10000000E+000, 0.10000000E+000, 0.10000088E+001, 0.13207146E-003, 0.10000043E+000, 0.54682593E-001, 0.89793502E-005, 0.00000000E+000,-0.18843714E-006, 0.00000000E+000, 0.00000000E+000,-0.84537066E-012, 0.91677882E-005, 0.00000000E+000, 0.00000000E+000,
2,0, 0.20000000E+000, 0.10000000E+000, 0.10000224E+001, 0.15929633E-003, 0.20000195E+000, 0.54682600E-001, 0.22325126E-004, 0.00000000E+000,-0.10624092E-005,-0.14032896E-005,-0.71344217E-007,-0.79908360E-011, 0.24862177E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.30000000E+000, 0.10000000E+000, 0.10000227E+001,-0.62375788E-004, 0.30000432E+000, 0.54682610E-001, 0.21408565E-004, 0.00000000E+000,-0.24314870E-005,-0.47755418E-005,-0.24685268E-006,-0.16673377E-010, 0.28862463E-004, 0.00000000E+000, 0.00000000E+000,
4,0, 0.40000000E+000, 0.10000000E+000, 0.10000168E+001,-0.90151233E-004, 0.40000635E+000, 0.54682617E-001, 0.14458908E-004, 0.00000000E+000,-0.34478645E-005,-0.71409801E-005,-0.51880766E-006,-0.63251724E-010, 0.25566624E-004, 0.00000000E+000, 0.00000000E+000,
5,0, 0.50000000E+000, 0.10000000E+000, 0.10000165E+001, 0.23827930E-004, 0.50000796E+000, 0.54682622E-001, 0.13710755E-004, 0.00000000E+000,-0.40586004E-005,-0.74009813E-005,-0.84215797E-006,-0.40121119E-009, 0.26012896E-004, 0.00000000E+000, 0.00000000E+000,
6,0, 0.60000000E+000, 0.10000000E+000, 0.10000183E+001, 0.30129180E-004, 0.60000968E+000, 0.54682628E-001, 0.15232800E-004, 0.00000000E+000,-0.46624073E-005,-0.74949492E-005,-0.11890419E-005,-0.17274421E-008, 0.28580926E-004, 0.00000000E+000, 0.00000000E+000,
7,0, 0.70000000E+000, 0.10000000E+000, 0.10000199E+001, 0.13687215E-004, 0.70001159E+000, 0.54682635E-001, 0.16284321E-004, 0.00000000E+000,-0.53283945E-005,-0.81170611E-005,-0.15574794E-005,-0.51033662E-008, 0.31292359E-004, 0.00000000E+000, 0.00000000E+000,
8,0, 0.80000000E+000, 0.10000000E+000, 0.10000218E+001, 0.20497844E-004, 0.80001367E+000, 0.54682641E-001, 0.17651897E-004, 0.00000000E+000,-0.60309890E-005,-0.89253459E-005,-0.19524913E-005,-0.11446626E-007, 0.34572170E-004, 0.00000000E+000, 0.00000000E+000,
9,0, 0.90000000E+000, 0.10000000E+000, 0.10000245E+001, 0.32106552E-004, 0.90001597E+000, 0.54682649E-001, 0.19878937E-004, 0.00000000E+000,-0.68055419E-005,-0.98555506E-005,-0.23800608E-005,-0.21207085E-007, 0.38941297E-004, 0.00000000E+000, 0.00000000E+000,
10,0, 0.10000000E+001, 0.10000000E+000, 0.10000278E+001, 0.35357795E-004, 0.10000186E+001, 0.54682658E-001, 0.22533005E-004, 0.00000000E+000,-0.76952586E-005,-0.11024817E-004,-0.28480428E-005,-0.34626758E-007, 0.44135750E-004, 0.00000000E+000, 0.00000000E+000,
11,0, 0.11000000E+001, 0.10000000E+000, 0.10000313E+001, 0.35454150E-004, 0.11000215E+001, 0.54682667E-001, 0.25262662E-004, 0.00000000E+000,-0.87103023E-005,-0.12447518E-004,-0.33638745E-005,-0.52053524E-007, 0.49836410E-004, 0.00000000E+000, 0.00000000E+000,
12,0, 0.12000000E+001, 0.10000000E+000, 0.10000348E+001, 0.36435118E-004, 0.12000248E+001, 0.54682678E-001, 0.28023792E-004, 0.00000000E+000,-0.98452098E-005,-0.14060861E-004,-0.39327551E-005,-0.73918597E-007, 0.55936536E-004, 0.00000000E+000, 0.00000000E+000,
13,0, 0.13000000E+001, 0.10000000E+000, 0.10000385E+001, 0.37393112E-004, 0.13000285E+001, 0.54682690E-001, 0.30801907E-004, 0.00000000E+000,-0.11094456E-004,-0.15821910E-004,-0.45574262E-005,-0.10068885E-006, 0.62376388E-004, 0.00000000E+000, 0.00000000E+000,
14,0, 0.14000000E+001, 0.10000000E+000, 0.10000422E+001, 0.37356079E-004, 0.14000325E+001, 0.54682703E-001, 0.33525825E-004, 0.00000000E+000,-0.12451114E-004,-0.17708765E-004,-0.52372148E-005,-0.13291831E-006, 0.69055838E-004, 0.00000000E+000, 0.00000000E+000,
15,0, 0.15000000E+001, 0.10000000E+000, 0.10000459E+001, 0.36705832E-004, 0.15000370E+001, 0.54682717E-001, 0.36135671E-004, 0.00000000E+000,-0.13904473E-004,-0.19696798E-004,-0.59713854E-005,-0.17125618E-006, 0.75879583E-004, 0.00000000E+000, 0.00000000E+000,
16,0, 0.16000000E+001, 0.10000000E+000, 0.10000496E+001, 0.35867817E-004, 0.16000417E+001, 0.54682732E-001, 0.38605247E-004, 0.00000000E+000,-0.15441817E-004,-0.21758843E-004,-0.67577272E-005,-0.21643112E-006, 0.82780066E-004, 0.00000000E+000, 0.00000000E+000,
17,0, 0.17000000E+001, 0.10000000E+000, 0.10000531E+001, 0.34883721E-004, 0.17000469E+001, 0.54682748E-001, 0.40921600E-004, 0.00000000E+000,-0.17050235E-004,-0.23871593E-004,-0.75915691E-005,-0.26923858E-006, 0.89704236E-004, 0.00000000E+000, 0.00000000E+000,
18,0, 0.18000000E+001, 0.10000000E+000, 0.10000565E+001, 0.33676706E-004, 0.18000523E+001, 0.54682765E-001, 0.43070598E-004, 0.00000000E+000,-0.18717014E-004,-0.26016397E-004,-0.84691051E-005,-0.33052624E-006, 0.96603641E-004, 0.00000000E+000, 0.00000000E+000,
19,0, 0.19000000E+001, 0.10000000E+000, 0.10000598E+001, 0.32326227E-004, 0.19000582E+001, 0.54682782E-001, 0.45043372E-004, 0.00000000E+000,-0.20429591E-004,-0.28176590E-004,-0.93857127E-005,-0.40118515E-006, 0.10343645E-003, 0.00000000E+000, 0.00000000E+000,
20,0, 0.20000000E+001, 0.10000000E+000, 0.10000630E+001, 0.30883114E-004, 0.20000643E+001, 0.54682800E-001, 0.46836077E-004, 0.00000000E+000,-0.22175882E-004,-0.30337388E-004,-0.10336558E-004,-0.48213491E-006, 0.11016804E-003, 0.00000000E+000, 0.00000000E+000,
21,0, 0.21000000E+001, 0.10000000E+000, 0.10000660E+001, 0.29399625E-004, 0.21000707E+001, 0.54682819E-001, 0.48449822E-004, 0.00000000E+000,-0.23944475E-004,-0.32485802E-004,-0.11315191E-004,-0.57431076E-006, 0.11676960E-003, 0.00000000E+000, 0.00000000E+000,
22,0, 0.22000000E+001, 0.10000000E+000, 0.10000688E+001, 0.27856444E-004, 0.22000775E+001, 0.54682838E-001, 0.49885625E-004, 0.00000000E+000,-0.25724774E-004,-0.34610784E-004,-0.12316567E-004,-0.67865433E-006, 0.12321640E-003, 0.00000000E+000, 0.00000000E+000,
23,0, 0.23000000E+001, 0.10000000E+000, 0.10000715E+001, 0.26286732E-004, 0.23000845E+001, 0.54682858E-001, 0.51146551E-004, 0.00000000E+000,-0.27506949E-004,-0.36702632E-004,-0.13335408E-004,-0.79610109E-006, 0.12948764E-003, 0.00000000E+000, 0.00000000E+000,
24,0, 0.24000000E+001, 0.10000000E+000, 0.10000741E+001, 0.24715831E-004, 0.24000918E+001, 0.54682878E-001, 0.52237753E-004, 0.00000000E+000,-0.29281997E-004,-0.38753007E-004,-0.14365454E-004,-0.92757318E-006, 0.13556578E-003, 0.00000000E+000, 0.00000000E+000,
25,0, 0.25000000E+001, 0.10000000E+000, 0.10000765E+001, 0.23130474E-004, 0.25000993E+001, 0.54682898E-001, 0.53163808E-004, 0.00000000E+000,-0.31041736E-004,-0.40754627E-004,-0.15402072E-004,-0.10739699E-005, 0.14143621E-003, 0.00000000E+000, 0.00000000E+000,
26,0, 0.26000000E+001, 0.10000000E+000, 0.10000787E+001, 0.21555706E-004, 0.26001071E+001, 0.54682919E-001, 0.53930594E-004, 0.00000000E+000,-0.32778755E-004,-0.42701303E-004,-0.16439918E-004,-0.12361607E-005, 0.14708673E-003, 0.00000000E+000, 0.00000000E+000,
27,0, 0.27000000E+001, 0.10000000E+000, 0.10000808E+001, 0.19986952E-004, 0.27001150E+001, 0.54682940E-001, 0.54543785E-004, 0.00000000E+000,-0.34486402E-004,-0.44587676E-004,-0.17474485E-004,-0.14149792E-005, 0.15250733E-003, 0.00000000E+000, 0.00000000E+000,
28,0, 0.28000000E+001, 0.10000000E+000, 0.10000827E+001, 0.18442243E-004, 0.28001232E+001, 0.54682961E-001, 0.55009985E-004, 0.00000000E+000,-0.36158734E-004,-0.46409237E-004,-0.18500652E-004,-0.16112171E-005, 0.15768983E-003, 0.00000000E+000, 0.00000000E+000,
29,0, 0.29000000E+001, 0.10000000E+000, 0.10000845E+001, 0.16918089E-004, 0.29001316E+001, 0.54682982E-001, 0.55335575E-004, 0.00000000E+000,-0.37790488E-004,-0.48162138E-004,-0.19513986E-004,-0.18256201E-005, 0.16262781E-003, 0.00000000E+000, 0.00000000E+000,
30,0, 0.30000000E+001, 0.10000000E+000, 0.10000861E+001, 0.15415896E-004, 0.30001401E+001, 0.54683003E-001, 0.55526727E-004, 0.00000000E+000,-0.39377030E-004,-0.49843210E-004,-0.20510487E-004,-0.20588832E-005, 0.16731634E-003, 0.00000000E+000, 0.00000000E+000,
31,0, 0.31000000E+001, 0.10000000E+000, 0.10000876E+001, 0.13950122E-004, 0.31001488E+001, 0.54683024E-001, 0.55590322E-004, 0.00000000E+000,-0.40914308E-004,-0.51449840E-004,-0.21485708E-004,-0.23116485E-005, 0.17175183E-003, 0.00000000E+000, 0.00000000E+000,
32,0, 0.32000000E+001, 0.10000000E+000, 0.10000889E+001, 0.12504092E-004, 0.32001576E+001, 0.54683044E-001, 0.55532077E-004, 0.00000000E+000,-0.42398828E-004,-0.52979955E-004,-0.22436453E-004,-0.25845015E-005, 0.17593182E-003, 0.00000000E+000, 0.00000000E+000,
33,0, 0.33000000E+001, 0.10000000E+000, 0.10000901E+001, 0.11094462E-004, 0.33001666E+001, 0.54683065E-001, 0.55358323E-004, 0.00000000E+000,-0.43827578E-004,-0.54431923E-004,-0.23359151E-004,-0.28779698E-005, 0.17985494E-003, 0.00000000E+000, 0.00000000E+000,
34,0, 0.34000000E+001, 0.10000000E+000, 0.10000911E+001, 0.97145338E-005, 0.34001756E+001, 0.54683085E-001, 0.55074912E-004, 0.00000000E+000,-0.45198019E-004,-0.55804547E-004,-0.24250737E-004,-0.31925217E-005, 0.18352074E-003, 0.00000000E+000, 0.00000000E+000,
35,0, 0.35000000E+001, 0.10000000E+000, 0.10000920E+001, 0.83652190E-005, 0.35001848E+001, 0.54683106E-001, 0.54687447E-004, 0.00000000E+000,-0.46508030E-004,-0.57096990E-004,-0.25108531E-004,-0.35285649E-005, 0.18692956E-003, 0.00000000E+000, 0.00000000E+000,
36,0, 0.36000000E+001, 0.10000000E+000, 0.10000928E+001, 0.70627189E-005, 0.36001940E+001, 0.54683125E-001, 0.54202405E-004, 0.00000000E+000,-0.47755875E-004,-0.58308761E-004,-0.25929089E-004,-0.38864463E-005, 0.19008258E-003, 0.00000000E+000, 0.00000000E+000,
37,0, 0.37000000E+001, 0.10000000E+000, 0.10000934E+001, 0.57867724E-005, 0.37002033E+001, 0.54683145E-001, 0.53624953E-004, 0.00000000E+000,-0.48940193E-004,-0.59439667E-004,-0.26710347E-004,-0.42664517E-005, 0.19298161E-003, 0.00000000E+000, 0.00000000E+000,
38,0, 0.38000000E+001, 0.10000000E+000, 0.10000940E+001, 0.45509611E-005, 0.38002127E+001, 0.54683164E-001, 0.52960671E-004, 0.00000000E+000,-0.50059933E-004,-0.60489808E-004,-0.27449858E-004,-0.46688063E-005, 0.19562908E-003, 0.00000000E+000, 0.00000000E+000,
39,0, 0.39000000E+001, 0.10000000E+000, 0.10000944E+001, 0.33412148E-005, 0.39002221E+001, 0.54683183E-001, 0.52214147E-004, 0.00000000E+000,-0.51114347E-004,-0.61459519E-004,-0.28146260E-004,-0.50936753E-005, 0.19802795E-003, 0.00000000E+000, 0.00000000E+000,
40,0, 0.40000000E+001, 0.10000000E+000, 0.10000946E+001, 0.21738547E-005, 0.40002316E+001, 0.54683202E-001, 0.51390688E-004, 0.00000000E+000,-0.52102944E-004,-0.62349363E-004,-0.28797477E-004,-0.55411648E-005, 0.20018164E-003, 0.00000000E+000, 0.00000000E+000,
41,0, 0.41000000E+001, 0.10000000E+000, 0.10000948E+001, 0.10400185E-005, 0.41002411E+001, 0.54683220E-001, 0.50495073E-004, 0.00000000E+000,-0.53025482E-004,-0.63160091E-004,-0.29401953E-004,-0.60113230E-005, 0.20209392E-003, 0.00000000E+000, 0.00000000E+000,
42,0, 0.42000000E+001, 0.10000000E+000, 0.10000948E+001,-0.72354762E-007, 0.42002505E+001, 0.54683237E-001, 0.49530991E-004, 0.00000000E+000,-0.53881940E-004,-0.63892627E-004,-0.29959272E-004,-0.65041416E-005, 0.20376897E-003, 0.00000000E+000, 0.00000000E+000,
43,0, 0.43000000E+001, 0.10000000E+000, 0.10000948E+001,-0.11390973E-005, 0.43002600E+001, 0.54683254E-001, 0.48503387E-004, 0.00000000E+000,-0.54672473E-004,-0.64548045E-004,-0.30467868E-004,-0.70195573E-005, 0.20521133E-003, 0.00000000E+000, 0.00000000E+000,
44,0, 0.44000000E+001, 0.10000000E+000, 0.10000946E+001,-0.21809511E-005, 0.44002695E+001, 0.54683271E-001, 0.47416040E-004, 0.00000000E+000,-0.55397439E-004,-0.65127565E-004,-0.30927293E-004,-0.75574540E-005, 0.20642579E-003, 0.00000000E+000, 0.00000000E+000,
45,0, 0.45000000E+001, 0.10000000E+000, 0.10000944E+001,-0.32068687E-005, 0.45002789E+001, 0.54683287E-001, 0.46271702E-004, 0.00000000E+000,-0.56057340E-004,-0.65632527E-004,-0.31338167E-004,-0.81176641E-005, 0.20741740E-003, 0.00000000E+000, 0.00000000E+000,
46,0, 0.46000000E+001, 0.10000000E+000, 0.10000940E+001,-0.41843304E-005, 0.46002884E+001, 0.54683302E-001, 0.45074996E-004, 0.00000000E+000,-0.56652807E-004,-0.66064381E-004,-0.31699333E-004,-0.86999710E-005, 0.20819149E-003, 0.00000000E+000, 0.00000000E+000,
47,0, 0.47000000E+001, 0.10000000E+000, 0.10000935E+001,-0.51448670E-005, 0.47002977E+001, 0.54683317E-001, 0.43828837E-004, 0.00000000E+000,-0.57184625E-004,-0.66424668E-004,-0.32011317E-004,-0.93041113E-005, 0.20875356E-003, 0.00000000E+000, 0.00000000E+000,
48,0, 0.48000000E+001, 0.10000000E+000, 0.10000930E+001,-0.60823392E-005, 0.48003071E+001, 0.54683331E-001, 0.42536012E-004, 0.00000000E+000,-0.57653681E-004,-0.66715027E-004,-0.32274812E-004,-0.99297764E-005, 0.20910931E-003, 0.00000000E+000, 0.00000000E+000,
