ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000143E+001, 0.42883460E-004, 0.50000344E+000, 0.54682605E-001, 0.13260818E-004, 0.00000000E+000,-0.11415737E-005, 0.00000000E+000, 0.00000000E+000,-0.23345783E-010, 0.14402415E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000358E+001, 0.50368994E-004, 0.10000156E+001, 0.54682651E-001, 0.31178028E-004, 0.00000000E+000,-0.58663548E-005,-0.33041524E-005,-0.13318304E-005, 0.81004764E-010, 0.41680284E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10000545E+001, 0.34279402E-004, 0.15000384E+001, 0.54682728E-001, 0.43542914E-004, 0.00000000E+000,-0.13194848E-004,-0.11165485E-004,-0.43583237E-005,-0.61341906E-007, 0.72322913E-004, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10000720E+001, 0.34057532E-004, 0.20000700E+001, 0.54682825E-001, 0.53713423E-004, 0.00000000E+000,-0.21604534E-004,-0.20805491E-004,-0.91332094E-005,-0.39066924E-006, 0.10564733E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10000841E+001, 0.18534075E-004, 0.25001093E+001, 0.54682934E-001, 0.57745171E-004, 0.00000000E+000,-0.30482233E-004,-0.31255582E-004,-0.14933348E-004,-0.12660021E-005, 0.13568234E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10000915E+001, 0.10248546E-004, 0.30001533E+001, 0.54683044E-001, 0.57656243E-004, 0.00000000E+000,-0.38590628E-004,-0.41245350E-004,-0.20881273E-004,-0.29317756E-005, 0.16130527E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10000945E+001, 0.15256676E-005, 0.35001999E+001, 0.54683147E-001, 0.54065062E-004, 0.00000000E+000,-0.45529048E-004,-0.49803908E-004,-0.26275714E-004,-0.55839866E-005, 0.18125772E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10000939E+001,-0.47860526E-005, 0.40002471E+001, 0.54683238E-001, 0.48167310E-004, 0.00000000E+000,-0.50991767E-004,-0.56685783E-004,-0.30622235E-004,-0.93360793E-005, 0.19580318E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10000898E+001,-0.11675896E-004, 0.45002932E+001, 0.54683313E-001, 0.40201788E-004, 0.00000000E+000,-0.54934381E-004,-0.61764844E-004,-0.33661745E-004,-0.14212906E-004, 0.20477566E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10000827E+001,-0.17237093E-004, 0.50003363E+001, 0.54683368E-001, 0.30776976E-004, 0.00000000E+000,-0.57328424E-004,-0.65078454E-004,-0.35304273E-004,-0.20172877E-004, 0.20866100E-003, 0.00000000E+000, 0.00000000E+000,
