TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80172884E+003, 0.83290804E+003, 0.10098031E+004, 0.12333636E+004, 0.00000000E+000, 0.80206197E+003, 0.00000000E+000, 0.80172892E+003, 0.80166098E+003, 0.52839041E+000, 0.52839041E+000, 0.80172829E+003, 0.62815000E+003,
 0.10000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80173930E+003, 0.83292211E+003, 0.10098074E+004, 0.12333608E+004, 0.00000000E+000, 0.80207070E+003, 0.00000000E+000, 0.80173952E+003, 0.80167020E+003, 0.52832428E+000, 0.52832428E+000, 0.80173754E+003, 0.62815000E+003,
 0.15000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80175602E+003, 0.83294007E+003, 0.10098167E+004, 0.12333567E+004, 0.00000000E+000, 0.80208583E+003, 0.00000000E+000, 0.80175632E+003, 0.80168520E+003, 0.52824962E+000, 0.52824962E+000, 0.80175326E+003, 0.62815000E+003,
 0.20000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80177611E+003, 0.83296003E+003, 0.10098296E+004, 0.12333519E+004, 0.00000000E+000, 0.80210484E+003, 0.00000000E+000, 0.80177647E+003, 0.80170362E+003, 0.52817731E+000, 0.52817731E+000, 0.80177260E+003, 0.62814999E+003,
 0.25000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80179820E+003, 0.83298054E+003, 0.10098450E+004, 0.12333476E+004, 0.00000000E+000, 0.80212624E+003, 0.00000000E+000, 0.80179860E+003, 0.80172429E+003, 0.52811761E+000, 0.52811761E+000, 0.80179419E+003, 0.62814967E+003,
 0.30000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80181975E+003, 0.83299900E+003, 0.10098610E+004, 0.12333439E+004, 0.00000000E+000, 0.80214777E+003, 0.00000000E+000, 0.80182013E+003, 0.80174492E+003, 0.52806926E+000, 0.52806926E+000, 0.80181570E+003, 0.62814869E+003,
 0.35000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80183938E+003, 0.83301508E+003, 0.10098763E+004, 0.12333407E+004, 0.00000000E+000, 0.80216776E+003, 0.00000000E+000, 0.80183973E+003, 0.80176416E+003, 0.52803097E+000, 0.52803097E+000, 0.80183549E+003, 0.62814689E+003,
 0.40000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80185642E+003, 0.83302818E+003, 0.10098900E+004, 0.12333380E+004, 0.00000000E+000, 0.80218543E+003, 0.00000000E+000, 0.80185673E+003, 0.80178130E+003, 0.52800081E+000, 0.52800081E+000, 0.80185292E+003, 0.62814425E+003,
 0.45000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80187046E+003, 0.83303841E+003, 0.10099014E+004, 0.12333357E+004, 0.00000000E+000, 0.80220025E+003, 0.00000000E+000, 0.80187073E+003, 0.80179581E+003, 0.52797715E+000, 0.52797715E+000, 0.80186745E+003, 0.62814085E+003,
 0.50000000E+001, 0.16875000E+001, 0.19375000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.80188156E+003, 0.83304578E+003, 0.10099102E+004, 0.12333339E+004, 0.00000000E+000, 0.80221214E+003, 0.00000000E+000, 0.80188177E+003, 0.80180764E+003, 0.52795866E+000, 0.52795866E+000, 0.80187907E+003, 0.62813681E+003,
