ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000148E+001, 0.44425063E-004, 0.50000357E+000, 0.54682606E-001, 0.13737523E-004, 0.00000000E+000,-0.11806324E-005, 0.00000000E+000, 0.00000000E+000, 0.22497084E-007, 0.14895658E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000370E+001, 0.51893968E-004, 0.10000162E+001, 0.54682653E-001, 0.32208437E-004, 0.00000000E+000,-0.60587626E-005,-0.34174085E-005,-0.13749515E-005, 0.80937898E-007, 0.42978621E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10000567E+001, 0.36807100E-004, 0.15000398E+001, 0.54682733E-001, 0.45415133E-004, 0.00000000E+000,-0.13638479E-004,-0.11519032E-004,-0.44930227E-005, 0.16579007E-006, 0.74899877E-004, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10000765E+001, 0.39530207E-004, 0.20000730E+001, 0.54682835E-001, 0.57356030E-004, 0.00000000E+000,-0.22458564E-004,-0.21528889E-004,-0.90796858E-005, 0.17040050E-006, 0.11025277E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10000915E+001, 0.25502494E-004, 0.25001152E+001, 0.54682954E-001, 0.63697727E-004, 0.00000000E+000,-0.31970579E-004,-0.32573446E-004,-0.14496040E-004,-0.49334097E-007, 0.14278713E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10001027E+001, 0.18309761E-004, 0.30001639E+001, 0.54683079E-001, 0.66211581E-004, 0.00000000E+000,-0.40883152E-004,-0.43352413E-004,-0.20090427E-004,-0.62272989E-006, 0.17116030E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10001097E+001, 0.98758068E-005, 0.35002171E+001, 0.54683201E-001, 0.65186678E-004, 0.00000000E+000,-0.48722487E-004,-0.52814487E-004,-0.25265632E-004,-0.16573979E-005, 0.19364668E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10001135E+001, 0.43613052E-005, 0.40002730E+001, 0.54683316E-001, 0.61917574E-004, 0.00000000E+000,-0.55097627E-004,-0.60589588E-004,-0.29611359E-004,-0.32204285E-005, 0.21043658E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10001142E+001,-0.16070299E-005, 0.45003300E+001, 0.54683420E-001, 0.56705351E-004, 0.00000000E+000,-0.59940705E-004,-0.66486856E-004,-0.32873852E-004,-0.53338812E-005, 0.22134065E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10001124E+001,-0.60052649E-005, 0.50003868E+001, 0.54683510E-001, 0.50247533E-004, 0.00000000E+000,-0.63217891E-004,-0.70539190E-004,-0.34959342E-004,-0.79843708E-005, 0.22694833E-003, 0.00000000E+000, 0.00000000E+000,
11,0, 0.55000000E+001, 0.50000000E+000, 0.10001084E+001,-0.10309552E-004, 0.55004420E+001, 0.54683584E-001, 0.42789333E-004, 0.00000000E+000,-0.65032197E-004,-0.72822487E-004,-0.35888847E-004,-0.11127659E-004, 0.22766052E-003, 0.00000000E+000, 0.00000000E+000,
12,0, 0.60000000E+001, 0.50000000E+000, 0.10001025E+001,-0.13658281E-004, 0.60004948E+001, 0.54683642E-001, 0.34733088E-004, 0.00000000E+000,-0.65497911E-004,-0.73516421E-004,-0.35767224E-004,-0.14698420E-004, 0.22421306E-003, 0.00000000E+000, 0.00000000E+000,
13,0, 0.65000000E+001, 0.50000000E+000, 0.10000950E+001,-0.16643203E-004, 0.65005442E+001, 0.54683683E-001, 0.26292268E-004, 0.00000000E+000,-0.64785074E-004,-0.72805883E-004,-0.34743127E-004,-0.18616182E-004, 0.21724253E-003, 0.00000000E+000, 0.00000000E+000,
14,0, 0.70000000E+001, 0.50000000E+000, 0.10000862E+001,-0.18910208E-004, 0.70005896E+001, 0.54683707E-001, 0.17737967E-004, 0.00000000E+000,-0.63064592E-004,-0.70923390E-004,-0.32981237E-004,-0.22792389E-004, 0.20749958E-003, 0.00000000E+000, 0.00000000E+000,
15,0, 0.75000000E+001, 0.50000000E+000, 0.10000764E+001,-0.20688451E-004, 0.75006302E+001, 0.54683714E-001, 0.92605505E-005, 0.00000000E+000,-0.60523986E-004,-0.68088100E-004,-0.30639550E-004,-0.27135431E-004, 0.19564762E-003, 0.00000000E+000, 0.00000000E+000,
16,0, 0.80000000E+001, 0.50000000E+000, 0.10000658E+001,-0.21905693E-004, 0.80006658E+001, 0.54683706E-001, 0.10442699E-005, 0.00000000E+000,-0.57341305E-004,-0.64531022E-004,-0.27866327E-004,-0.31555025E-004, 0.18233795E-003, 0.00000000E+000, 0.00000000E+000,
17,0, 0.85000000E+001, 0.50000000E+000, 0.10000547E+001,-0.22682518E-004, 0.85006959E+001, 0.54683683E-001,-0.67781524E-005, 0.00000000E+000,-0.53686880E-004,-0.60454886E-004,-0.24787680E-004,-0.35965734E-004, 0.16811703E-003, 0.00000000E+000, 0.00000000E+000,
18,0, 0.90000000E+001, 0.50000000E+000, 0.10000433E+001,-0.23110549E-004, 0.90007204E+001, 0.54683647E-001,-0.14121121E-004, 0.00000000E+000,-0.49711262E-004,-0.56049304E-004,-0.21528330E-004,-0.40289248E-004, 0.15345702E-003, 0.00000000E+000, 0.00000000E+000,
19,0, 0.95000000E+001, 0.50000000E+000, 0.10000318E+001,-0.23193907E-004, 0.95007391E+001, 0.54683598E-001,-0.20914122E-004, 0.00000000E+000,-0.45543558E-004,-0.51466510E-004,-0.18173060E-004,-0.44456352E-004, 0.13872536E-003, 0.00000000E+000, 0.00000000E+000,
20,0, 0.10000000E+002, 0.50000000E+000, 0.10000202E+001,-0.23076927E-004, 0.10000752E+002, 0.54683539E-001,-0.27137830E-004, 0.00000000E+000,-0.41291266E-004,-0.46835129E-004,-0.14813787E-004,-0.48407630E-004, 0.12420998E-003, 0.00000000E+000, 0.00000000E+000,
21,0, 0.10500000E+002, 0.50000000E+000, 0.10000088E+001,-0.22734611E-004, 0.10500759E+002, 0.54683470E-001,-0.32774212E-004, 0.00000000E+000,-0.37038437E-004,-0.42249379E-004,-0.11507266E-004,-0.52094059E-004, 0.11011493E-003, 0.00000000E+000, 0.00000000E+000,
22,0, 0.11000000E+002, 0.50000000E+000, 0.10000147E+001, 0.29253378E-004, 0.11000764E+002, 0.54683407E-001,-0.21537942E-004, 0.00000000E+000,-0.34284338E-004,-0.37782130E-004,-0.86751701E-005,-0.55476622E-004, 0.11468032E-003, 0.00000000E+000, 0.00000000E+000,
23,0, 0.11500000E+002, 0.50000000E+000, 0.10017648E+001, 0.52394315E-002, 0.11487457E+002, 0.54684859E-001, 0.16358425E-002, 0.00000000E+000,-0.18082941E-003,-0.37625882E-004,-0.42902947E-004,-0.58607804E-004, 0.19558085E-002, 0.00000000E+000, 0.00000000E+000,
24,0, 0.12000000E+002, 0.50000000E+000, 0.10047393E+001, 0.71462312E-002, 0.11961901E+002, 0.54690751E-001, 0.41158227E-002, 0.00000000E+000,-0.79446889E-003,-0.46046014E-003,-0.21443868E-003,-0.62600917E-004, 0.56477914E-002, 0.00000000E+000, 0.00000000E+000,
25,0, 0.12500000E+002, 0.50000000E+000, 0.10073852E+001, 0.49250030E-002, 0.12438459E+002, 0.54701142E-001, 0.58902432E-002, 0.00000000E+000,-0.17826705E-002,-0.15080810E-002,-0.61061996E-003,-0.72357692E-004, 0.98639724E-002, 0.00000000E+000, 0.00000000E+000,
26,0, 0.13000000E+002, 0.50000000E+000, 0.10098943E+001, 0.48328953E-002, 0.12915859E+002, 0.54714529E-001, 0.73460519E-002, 0.00000000E+000,-0.29214528E-002,-0.28282879E-002,-0.12483662E-002,-0.10018956E-003, 0.14444348E-001, 0.00000000E+000, 0.00000000E+000,
27,0, 0.13500000E+002, 0.50000000E+000, 0.10121440E+001, 0.41877508E-002, 0.13394875E+002, 0.54730202E-001, 0.84201118E-002, 0.00000000E+000,-0.41525503E-002,-0.42593433E-002,-0.21073167E-002,-0.15991621E-003, 0.19099238E-001, 0.00000000E+000, 0.00000000E+000,
28,0, 0.14000000E+002, 0.50000000E+000, 0.10142201E+001, 0.39223143E-002, 0.13875815E+002, 0.54747444E-001, 0.92611546E-002, 0.00000000E+000,-0.54283088E-002,-0.57438271E-002,-0.31573368E-002,-0.26681452E-003, 0.23857442E-001, 0.00000000E+000, 0.00000000E+000,
29,0, 0.14500000E+002, 0.50000000E+000, 0.10160560E+001, 0.33764692E-002, 0.14359440E+002, 0.54765750E-001, 0.98366711E-002, 0.00000000E+000,-0.67311535E-002,-0.72510145E-002,-0.43665044E-002,-0.43378677E-003, 0.28619130E-001, 0.00000000E+000, 0.00000000E+000,
30,0, 0.15000000E+002, 0.50000000E+000, 0.10176999E+001, 0.30412930E-002, 0.14847347E+002, 0.54784641E-001, 0.10229483E-001, 0.00000000E+000,-0.80333221E-002,-0.87704843E-002,-0.57017360E-002,-0.67142011E-003, 0.33406446E-001, 0.00000000E+000, 0.00000000E+000,
31,0, 0.15500000E+002, 0.50000000E+000, 0.10191186E+001, 0.25623399E-002, 0.15342865E+002, 0.54803759E-001, 0.10427141E-001, 0.00000000E+000,-0.93216836E-002,-0.10289266E-001,-0.71376529E-002,-0.98785475E-003, 0.38163598E-001, 0.00000000E+000, 0.00000000E+000,
32,0, 0.16000000E+002, 0.50000000E+000, 0.10203268E+001, 0.21616445E-002, 0.15852735E+002, 0.54822756E-001, 0.10466607E-001, 0.00000000E+000,-0.10594290E-001,-0.11798551E-001,-0.86529377E-002,-0.13892843E-002, 0.42901670E-001, 0.00000000E+000, 0.00000000E+000,
33,0, 0.16500000E+002, 0.50000000E+000, 0.10213115E+001, 0.17090872E-002, 0.16363154E+002, 0.54841349E-001, 0.10350991E-001, 0.00000000E+000,-0.11842959E-001,-0.13293475E-001,-0.10230271E-001,-0.18800192E-002, 0.47597716E-001, 0.00000000E+000, 0.00000000E+000,
34,0, 0.17000000E+002, 0.50000000E+000, 0.10220719E+001, 0.12679824E-002, 0.16847012E+002, 0.54859266E-001, 0.10096040E-001, 0.00000000E+000,-0.13062306E-001,-0.14772475E-001,-0.11856048E-001,-0.24628212E-002, 0.52249690E-001, 0.00000000E+000, 0.00000000E+000,
35,0, 0.17500000E+002, 0.50000000E+000, 0.10226020E+001, 0.81151744E-003, 0.17331614E+002, 0.54876267E-001, 0.97069992E-002, 0.00000000E+000,-0.14257775E-001,-0.16229715E-001,-0.13519264E-001,-0.31391356E-002, 0.56852888E-001, 0.00000000E+000, 0.00000000E+000,
36,0, 0.18000000E+002, 0.50000000E+000, 0.10229048E+001, 0.36956396E-003, 0.17818989E+002, 0.54892129E-001, 0.91990422E-002, 0.00000000E+000,-0.15420688E-001,-0.17666846E-001,-0.15211398E-001,-0.39093502E-002, 0.61407325E-001, 0.00000000E+000, 0.00000000E+000,
37,0, 0.18500000E+002, 0.50000000E+000, 0.10229659E+001,-0.11701488E-003, 0.18306449E+002, 0.54906647E-001, 0.85678036E-002, 0.00000000E+000,-0.16549331E-001,-0.19083138E-001,-0.16925990E-001,-0.47729512E-002, 0.65899214E-001, 0.00000000E+000, 0.00000000E+000,
38,0, 0.19000000E+002, 0.50000000E+000, 0.10227874E+001,-0.58303993E-003, 0.18797305E+002, 0.54919618E-001, 0.78255955E-002, 0.00000000E+000,-0.17648282E-001,-0.20472844E-001,-0.18657665E-001,-0.57286991E-002, 0.70333087E-001, 0.00000000E+000, 0.00000000E+000,
39,0, 0.19500000E+002, 0.50000000E+000, 0.10223584E+001,-0.10842014E-002, 0.19294872E+002, 0.54930856E-001, 0.69695328E-002, 0.00000000E+000,-0.18718458E-001,-0.21838814E-001,-0.20402424E-001,-0.67748096E-002, 0.74704039E-001, 0.00000000E+000, 0.00000000E+000,
40,0, 0.20000000E+002, 0.50000000E+000, 0.10216731E+001,-0.15921312E-002, 0.19805890E+002, 0.54940173E-001, 0.60024781E-002, 0.00000000E+000,-0.19756936E-001,-0.23181123E-001,-0.22157696E-001,-0.79090053E-002, 0.79007238E-001, 0.00000000E+000, 0.00000000E+000,
41,0, 0.20100000E+002, 0.10000000E+000, 0.10204611E+001,-0.13624768E-001, 0.19908000E+002, 0.54941559E-001, 0.47575419E-002, 0.00000000E+000,-0.19959801E-001,-0.24496942E-001,-0.22509850E-001,-0.81401101E-002, 0.79864245E-001, 0.00000000E+000, 0.00000000E+000,
42,0, 0.20200000E+002, 0.10000000E+000, 0.10202328E+001, 0.25782627E-002, 0.20010027E+002, 0.54942587E-001, 0.45651780E-002, 0.00000000E+000,-0.20141808E-001,-0.24757231E-001,-0.22862299E-001,-0.83754239E-002, 0.80701941E-001, 0.00000000E+000, 0.00000000E+000,
43,0, 0.20300000E+002, 0.10000000E+000, 0.10199944E+001,-0.23855073E-002, 0.20106630E+002, 0.54943592E-001, 0.43445652E-002, 0.00000000E+000,-0.20331528E-001,-0.25007879E-001,-0.23214976E-001,-0.86148892E-002, 0.81513838E-001, 0.00000000E+000, 0.00000000E+000,
44,0, 0.20400000E+002, 0.10000000E+000, 0.10197548E+001,-0.23567656E-002, 0.20203209E+002, 0.54944514E-001, 0.41260199E-002, 0.00000000E+000,-0.20519246E-001,-0.25253548E-001,-0.23567768E-001,-0.88584498E-002, 0.82325031E-001, 0.00000000E+000, 0.00000000E+000,
45,0, 0.20500000E+002, 0.10000000E+000, 0.10195087E+001,-0.24442555E-002, 0.20299849E+002, 0.54945352E-001, 0.39044981E-002, 0.00000000E+000,-0.20705981E-001,-0.25499774E-001,-0.23920568E-001,-0.91060502E-002, 0.83136872E-001, 0.00000000E+000, 0.00000000E+000,
46,0, 0.20600000E+002, 0.10000000E+000, 0.10192550E+001,-0.25269339E-002, 0.20396636E+002, 0.54946103E-001, 0.36796383E-002, 0.00000000E+000,-0.20891532E-001,-0.25743975E-001,-0.24273310E-001,-0.93576359E-002, 0.83946090E-001, 0.00000000E+000, 0.00000000E+000,
47,0, 0.20700000E+002, 0.10000000E+000, 0.10189927E+001,-0.26164380E-002, 0.20493741E+002, 0.54946766E-001, 0.34509939E-002, 0.00000000E+000,-0.21076040E-001,-0.25988061E-001,-0.24625954E-001,-0.96131522E-002, 0.84754200E-001, 0.00000000E+000, 0.00000000E+000,
48,0, 0.20800000E+002, 0.10000000E+000, 0.10187216E+001,-0.27046051E-002, 0.20591506E+002, 0.54947339E-001, 0.32186410E-002, 0.00000000E+000,-0.21259371E-001,-0.26231001E-001,-0.24978481E-001,-0.98725449E-002, 0.85560039E-001, 0.00000000E+000, 0.00000000E+000,
49,0, 0.20900000E+002, 0.10000000E+000, 0.10184414E+001,-0.27956119E-002, 0.20690616E+002, 0.54947821E-001, 0.29825038E-002, 0.00000000E+000,-0.21441614E-001,-0.26473350E-001,-0.25330879E-001,-0.10135760E-001, 0.86364106E-001, 0.00000000E+000, 0.00000000E+000,
50,0, 0.21000000E+002, 0.10000000E+000, 0.10181521E+001,-0.28866092E-002, 0.20792446E+002, 0.54948212E-001, 0.27426477E-002, 0.00000000E+000,-0.21622673E-001,-0.26714746E-001,-0.25683145E-001,-0.10402745E-001, 0.87165956E-001, 0.00000000E+000, 0.00000000E+000,
51,0, 0.21100000E+002, 0.10000000E+000, 0.10178534E+001,-0.29796786E-002, 0.20894247E+002, 0.54948510E-001, 0.24990320E-002, 0.00000000E+000,-0.21802573E-001,-0.26955370E-001,-0.26035276E-001,-0.10673447E-001, 0.87965697E-001, 0.00000000E+000, 0.00000000E+000,
52,0, 0.21200000E+002, 0.10000000E+000, 0.10175454E+001,-0.30735993E-002, 0.20996017E+002, 0.54948714E-001, 0.22516606E-002, 0.00000000E+000,-0.21981253E-001,-0.27195071E-001,-0.26387273E-001,-0.10947813E-001, 0.88763070E-001, 0.00000000E+000, 0.00000000E+000,
53,0, 0.21300000E+002, 0.10000000E+000, 0.10172278E+001,-0.31686017E-002, 0.21097755E+002, 0.54948823E-001, 0.20005304E-002, 0.00000000E+000,-0.22158735E-001,-0.27433879E-001,-0.26739138E-001,-0.11225793E-001, 0.89558075E-001, 0.00000000E+000, 0.00000000E+000,
54,0, 0.21400000E+002, 0.10000000E+000, 0.10169007E+001,-0.32637718E-002, 0.21199462E+002, 0.54948835E-001, 0.17456944E-002, 0.00000000E+000,-0.22334916E-001,-0.27671730E-001,-0.27090872E-001,-0.11507335E-001, 0.90350547E-001, 0.00000000E+000, 0.00000000E+000,
55,0, 0.21500000E+002, 0.10000000E+000, 0.10165639E+001,-0.33609115E-002, 0.21301135E+002, 0.54948751E-001, 0.14870942E-002, 0.00000000E+000,-0.22509853E-001,-0.27908605E-001,-0.27442477E-001,-0.11792391E-001, 0.91140420E-001, 0.00000000E+000, 0.00000000E+000,
56,0, 0.21600000E+002, 0.10000000E+000, 0.10162175E+001,-0.34559440E-002, 0.21402774E+002, 0.54948568E-001, 0.12249158E-002, 0.00000000E+000,-0.22683337E-001,-0.28144464E-001,-0.27793955E-001,-0.12080911E-001, 0.91927581E-001, 0.00000000E+000, 0.00000000E+000,
57,0, 0.21700000E+002, 0.10000000E+000, 0.10158613E+001,-0.35541251E-002, 0.21504378E+002, 0.54948285E-001, 0.95904921E-003, 0.00000000E+000,-0.22855494E-001,-0.28379284E-001,-0.28145306E-001,-0.12372845E-001, 0.92711978E-001, 0.00000000E+000, 0.00000000E+000,
58,0, 0.21800000E+002, 0.10000000E+000, 0.10154953E+001,-0.36528400E-002, 0.21605946E+002, 0.54947902E-001, 0.68947752E-003, 0.00000000E+000,-0.23026316E-001,-0.28613037E-001,-0.28496533E-001,-0.12668147E-001, 0.93493510E-001, 0.00000000E+000, 0.00000000E+000,
59,0, 0.21900000E+002, 0.10000000E+000, 0.10151194E+001,-0.37520251E-002, 0.21707477E+002, 0.54947418E-001, 0.41621267E-003, 0.00000000E+000,-0.23195819E-001,-0.28845679E-001,-0.28847632E-001,-0.12966768E-001, 0.94272111E-001, 0.00000000E+000, 0.00000000E+000,
