ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000148E+001, 0.44365603E-004, 0.50000356E+000, 0.54682606E-001, 0.13719137E-004, 0.00000000E+000,-0.11790510E-005, 0.00000000E+000, 0.00000000E+000, 0.22497025E-007, 0.14875690E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000370E+001, 0.51832041E-004, 0.10000162E+001, 0.54682653E-001, 0.32167710E-004, 0.00000000E+000,-0.60508515E-005,-0.34128250E-005,-0.13731570E-005, 0.80937823E-007, 0.42923606E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10000566E+001, 0.36710772E-004, 0.15000397E+001, 0.54682732E-001, 0.45342172E-004, 0.00000000E+000,-0.13619682E-004,-0.11504183E-004,-0.44868808E-005, 0.16583261E-006, 0.74787085E-004, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10000763E+001, 0.39365614E-004, 0.20000729E+001, 0.54682835E-001, 0.57229591E-004, 0.00000000E+000,-0.22421421E-004,-0.21497481E-004,-0.90651472E-005, 0.17066542E-006, 0.11004297E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10000913E+001, 0.25326491E-004, 0.25001150E+001, 0.54682954E-001, 0.63513631E-004, 0.00000000E+000,-0.31905212E-004,-0.32514136E-004,-0.14467080E-004,-0.48450515E-007, 0.14244851E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10001023E+001, 0.18122137E-004, 0.30001636E+001, 0.54683078E-001, 0.65969410E-004, 0.00000000E+000,-0.40781063E-004,-0.43254107E-004,-0.20039369E-004,-0.62050433E-006, 0.17066445E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10001093E+001, 0.97020430E-005, 0.35002166E+001, 0.54683200E-001, 0.64894901E-004, 0.00000000E+000,-0.48576472E-004,-0.52667989E-004,-0.25183776E-004,-0.16526350E-005, 0.19297577E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10001130E+001, 0.42018253E-005, 0.40002723E+001, 0.54683314E-001, 0.61585857E-004, 0.00000000E+000,-0.54902835E-004,-0.60388212E-004,-0.29489646E-004,-0.32113874E-005, 0.20957794E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10001136E+001,-0.17397164E-005, 0.45003290E+001, 0.54683417E-001, 0.56346694E-004, 0.00000000E+000,-0.59693994E-004,-0.66226315E-004,-0.32703329E-004,-0.53182622E-005, 0.22028860E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10001118E+001,-0.61101041E-005, 0.50003854E+001, 0.54683506E-001, 0.49874832E-004, 0.00000000E+000,-0.62917953E-004,-0.70217132E-004,-0.34731566E-004,-0.79593479E-005, 0.22570083E-003, 0.00000000E+000, 0.00000000E+000,
11,0, 0.55000000E+001, 0.50000000E+000, 0.10001077E+001,-0.10380931E-004, 0.55004404E+001, 0.54683580E-001, 0.42416177E-004, 0.00000000E+000,-0.64678992E-004,-0.72438212E-004,-0.35596038E-004,-0.11089952E-004, 0.22621937E-003, 0.00000000E+000, 0.00000000E+000,
12,0, 0.60000000E+001, 0.50000000E+000, 0.10001018E+001,-0.13695977E-004, 0.60004928E+001, 0.54683637E-001, 0.34372198E-004, 0.00000000E+000,-0.65092509E-004,-0.73070378E-004,-0.35402459E-004,-0.14644383E-004, 0.22258193E-003, 0.00000000E+000, 0.00000000E+000,
13,0, 0.65000000E+001, 0.50000000E+000, 0.10000943E+001,-0.16645235E-004, 0.65005419E+001, 0.54683677E-001, 0.25955860E-004, 0.00000000E+000,-0.64329259E-004,-0.72299409E-004,-0.34300314E-004,-0.18541905E-004, 0.21542675E-003, 0.00000000E+000, 0.00000000E+000,
14,0, 0.70000000E+001, 0.50000000E+000, 0.10000855E+001,-0.18877210E-004, 0.70005868E+001, 0.54683701E-001, 0.17437073E-004, 0.00000000E+000,-0.62560692E-004,-0.70358348E-004,-0.32455209E-004,-0.22693801E-004, 0.20550512E-003, 0.00000000E+000, 0.00000000E+000,
15,0, 0.75000000E+001, 0.50000000E+000, 0.10000757E+001,-0.20620327E-004, 0.75006272E+001, 0.54683708E-001, 0.90052377E-005, 0.00000000E+000,-0.59974626E-004,-0.67466713E-004,-0.30025964E-004,-0.27008397E-004, 0.19348094E-003, 0.00000000E+000, 0.00000000E+000,
16,0, 0.80000000E+001, 0.50000000E+000, 0.10000651E+001,-0.21803629E-004, 0.80006624E+001, 0.54683699E-001, 0.84339137E-006, 0.00000000E+000,-0.56749297E-004,-0.63855663E-004,-0.27161718E-004,-0.31395431E-004, 0.18000550E-003, 0.00000000E+000, 0.00000000E+000,
17,0, 0.85000000E+001, 0.50000000E+000, 0.10000541E+001,-0.22547296E-004, 0.85006922E+001, 0.54683676E-001,-0.69167677E-005, 0.00000000E+000,-0.53055101E-004,-0.59728006E-004,-0.23989343E-004,-0.35769563E-004, 0.16562525E-003, 0.00000000E+000, 0.00000000E+000,
