ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000128E+001, 0.38534073E-004, 0.50000309E+000, 0.54682604E-001, 0.11915869E-004, 0.00000000E+000,-0.10259055E-005, 0.00000000E+000, 0.00000000E+000,-0.10213700E-010, 0.12941785E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000328E+001, 0.46871748E-004, 0.10000142E+001, 0.54682645E-001, 0.28525593E-004, 0.00000000E+000,-0.53165307E-005,-0.29682967E-005,-0.12080743E-005, 0.36257128E-010, 0.38018459E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10000507E+001, 0.34074066E-004, 0.15000351E+001, 0.54682716E-001, 0.40741239E-004, 0.00000000E+000,-0.12118584E-004,-0.10161616E-004,-0.39884324E-005,-0.27551164E-007, 0.67037423E-004, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10000683E+001, 0.34590900E-004, 0.20000649E+001, 0.54682808E-001, 0.51256970E-004, 0.00000000E+000,-0.20119325E-004,-0.19227303E-004,-0.84355213E-005,-0.17669395E-006, 0.99215813E-004, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10000814E+001, 0.21705423E-004, 0.25001025E+001, 0.54682914E-001, 0.56548118E-004, 0.00000000E+000,-0.28743885E-004,-0.29278943E-004,-0.13888976E-004,-0.57729014E-006, 0.12903721E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10000908E+001, 0.15175733E-004, 0.30001456E+001, 0.54683025E-001, 0.58363536E-004, 0.00000000E+000,-0.36853528E-004,-0.39122078E-004,-0.19538641E-004,-0.13481289E-005, 0.15522591E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10000967E+001, 0.83444914E-005, 0.35001926E+001, 0.54683132E-001, 0.57261708E-004, 0.00000000E+000,-0.44037645E-004,-0.47817662E-004,-0.24741654E-004,-0.25882050E-005, 0.17644687E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10000999E+001, 0.36216427E-005, 0.40002419E+001, 0.54683233E-001, 0.54286272E-004, 0.00000000E+000,-0.49975883E-004,-0.55075158E-004,-0.29042111E-004,-0.43598691E-005, 0.19273929E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10001004E+001,-0.16262360E-005, 0.45002920E+001, 0.54683324E-001, 0.49633719E-004, 0.00000000E+000,-0.54584423E-004,-0.60722330E-004,-0.32200113E-004,-0.66847801E-005, 0.20382537E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10000987E+001,-0.57323842E-005, 0.50003418E+001, 0.54683402E-001, 0.43821944E-004, 0.00000000E+000,-0.57805025E-004,-0.64745827E-004,-0.34130449E-004,-0.95528731E-005, 0.21005612E-003, 0.00000000E+000, 0.00000000E+000,
11,0, 0.55000000E+001, 0.50000000E+000, 0.10000948E+001,-0.98488394E-005, 0.55003903E+001, 0.54683466E-001, 0.37020689E-004, 0.00000000E+000,-0.59691571E-004,-0.67167595E-004,-0.34865496E-004,-0.12926677E-004, 0.21167203E-003, 0.00000000E+000, 0.00000000E+000,
12,0, 0.60000000E+001, 0.50000000E+000, 0.10000891E+001,-0.13282502E-004, 0.60004363E+001, 0.54683515E-001, 0.29532039E-004, 0.00000000E+000,-0.60315811E-004,-0.68102336E-004,-0.34534388E-004,-0.16749449E-004, 0.20923402E-003, 0.00000000E+000, 0.00000000E+000,
13,0, 0.65000000E+001, 0.50000000E+000, 0.10000817E+001,-0.16422798E-004, 0.65004790E+001, 0.54683549E-001, 0.21536562E-004, 0.00000000E+000,-0.59803675E-004,-0.67684135E-004,-0.33294137E-004,-0.20950225E-004, 0.20326874E-003, 0.00000000E+000, 0.00000000E+000,
14,0, 0.70000000E+001, 0.50000000E+000, 0.10000729E+001,-0.19036700E-004, 0.70005177E+001, 0.54683566E-001, 0.13250369E-004, 0.00000000E+000,-0.58293785E-004,-0.66100244E-004,-0.31342152E-004,-0.25449752E-004, 0.19443630E-003, 0.00000000E+000, 0.00000000E+000,
15,0, 0.75000000E+001, 0.50000000E+000, 0.10000629E+001,-0.21163315E-004, 0.75005517E+001, 0.54683567E-001, 0.48681742E-005, 0.00000000E+000,-0.55946350E-004,-0.63540926E-004,-0.28840904E-004,-0.30164895E-004, 0.18336125E-003, 0.00000000E+000, 0.00000000E+000,
16,0, 0.80000000E+001, 0.50000000E+000, 0.10000520E+001,-0.22818977E-004, 0.80005804E+001, 0.54683552E-001,-0.34381735E-005, 0.00000000E+000,-0.52924931E-004,-0.60217495E-004,-0.25962374E-004,-0.35012545E-004, 0.17067917E-003, 0.00000000E+000, 0.00000000E+000,
17,0, 0.85000000E+001, 0.50000000E+000, 0.10000403E+001,-0.23973879E-004, 0.85006035E+001, 0.54683522E-001,-0.11503922E-004, 0.00000000E+000,-0.49391128E-004,-0.56326770E-004,-0.22827198E-004,-0.39912919E-004, 0.15695409E-003, 0.00000000E+000, 0.00000000E+000,
18,0, 0.90000000E+001, 0.50000000E+000, 0.10000282E+001,-0.24782264E-004, 0.90006206E+001, 0.54683479E-001,-0.19225259E-004, 0.00000000E+000,-0.45496444E-004,-0.52059655E-004,-0.19562687E-004,-0.44791845E-004, 0.14268537E-003, 0.00000000E+000, 0.00000000E+000,
