TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601043E+003, 0.82671940E+003, 0.87622853E+003, 0.12085838E+004, 0.00000000E+000, 0.82610057E+003, 0.00000000E+000, 0.82601044E+003, 0.82593479E+003, 0.15859928E+000, 0.15859928E+000, 0.82601037E+003, 0.62815000E+003,
 0.10000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601112E+003, 0.82672343E+003, 0.87623277E+003, 0.12085875E+004, 0.00000000E+000, 0.82610122E+003, 0.00000000E+000, 0.82601118E+003, 0.82593550E+003, 0.15858039E+000, 0.15858039E+000, 0.82601081E+003, 0.62815000E+003,
 0.15000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601321E+003, 0.82673146E+003, 0.87624187E+003, 0.12085902E+004, 0.00000000E+000, 0.82610319E+003, 0.00000000E+000, 0.82601335E+003, 0.82593757E+003, 0.15856000E+000, 0.15856000E+000, 0.82601226E+003, 0.62815000E+003,
 0.20000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82601754E+003, 0.82674345E+003, 0.87625473E+003, 0.12085917E+004, 0.00000000E+000, 0.82610730E+003, 0.00000000E+000, 0.82601782E+003, 0.82594176E+003, 0.15854046E+000, 0.15854046E+000, 0.82601552E+003, 0.62814999E+003,
 0.25000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82602464E+003, 0.82675878E+003, 0.87627045E+003, 0.12085925E+004, 0.00000000E+000, 0.82611412E+003, 0.00000000E+000, 0.82602509E+003, 0.82594854E+003, 0.15852456E+000, 0.15852456E+000, 0.82602121E+003, 0.62814967E+003,
 0.30000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82603462E+003, 0.82677629E+003, 0.87628732E+003, 0.12085927E+004, 0.00000000E+000, 0.82612378E+003, 0.00000000E+000, 0.82603524E+003, 0.82595802E+003, 0.15851175E+000, 0.15851175E+000, 0.82602959E+003, 0.62814869E+003,
 0.35000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82604720E+003, 0.82679476E+003, 0.87630397E+003, 0.12085926E+004, 0.00000000E+000, 0.82613606E+003, 0.00000000E+000, 0.82604797E+003, 0.82596995E+003, 0.15850166E+000, 0.15850166E+000, 0.82604058E+003, 0.62814689E+003,
 0.40000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82606179E+003, 0.82681309E+003, 0.87631938E+003, 0.12085923E+004, 0.00000000E+000, 0.82615040E+003, 0.00000000E+000, 0.82606268E+003, 0.82598381E+003, 0.15849377E+000, 0.15849377E+000, 0.82605377E+003, 0.62814425E+003,
 0.45000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82607764E+003, 0.82683046E+003, 0.87633300E+003, 0.12085919E+004, 0.00000000E+000, 0.82616610E+003, 0.00000000E+000, 0.82607861E+003, 0.82599894E+003, 0.15848763E+000, 0.15848763E+000, 0.82606855E+003, 0.62814085E+003,
 0.50000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82609401E+003, 0.82684629E+003, 0.87634452E+003, 0.12085916E+004, 0.00000000E+000, 0.82618239E+003, 0.00000000E+000, 0.82609500E+003, 0.82601465E+003, 0.15848287E+000, 0.15848287E+000, 0.82608421E+003, 0.62813681E+003,
 0.55000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82611018E+003, 0.82686024E+003, 0.87635389E+003, 0.12085912E+004, 0.00000000E+000, 0.82619857E+003, 0.00000000E+000, 0.82611117E+003, 0.82603032E+003, 0.15847920E+000, 0.15847920E+000, 0.82610008E+003, 0.62813230E+003,
 0.60000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82612561E+003, 0.82687213E+003, 0.87636114E+003, 0.12085910E+004, 0.00000000E+000, 0.82621408E+003, 0.00000000E+000, 0.82612656E+003, 0.82604540E+003, 0.15847640E+000, 0.15847640E+000, 0.82611558E+003, 0.62812750E+003,
 0.65000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82613984E+003, 0.82688190E+003, 0.87636637E+003, 0.12085908E+004, 0.00000000E+000, 0.82622844E+003, 0.00000000E+000, 0.82614073E+003, 0.82605946E+003, 0.15847428E+000, 0.15847428E+000, 0.82613019E+003, 0.62812259E+003,
 0.70000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82615257E+003, 0.82688959E+003, 0.87636971E+003, 0.12085908E+004, 0.00000000E+000, 0.82624134E+003, 0.00000000E+000, 0.82615338E+003, 0.82607219E+003, 0.15847270E+000, 0.15847270E+000, 0.82614357E+003, 0.62811772E+003,
 0.75000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82616361E+003, 0.82689528E+003, 0.87637131E+003, 0.12085908E+004, 0.00000000E+000, 0.82625257E+003, 0.00000000E+000, 0.82616432E+003, 0.82608337E+003, 0.15847154E+000, 0.15847154E+000, 0.82615545E+003, 0.62811300E+003,
 0.80000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82617286E+003, 0.82689909E+003, 0.87637133E+003, 0.12085909E+004, 0.00000000E+000, 0.82626202E+003, 0.00000000E+000, 0.82617346E+003, 0.82609288E+003, 0.15847072E+000, 0.15847072E+000, 0.82616567E+003, 0.62810852E+003,
 0.85000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82618028E+003, 0.82690117E+003, 0.87636993E+003, 0.12085911E+004, 0.00000000E+000, 0.82626965E+003, 0.00000000E+000, 0.82618078E+003, 0.82610066E+003, 0.15847017E+000, 0.15847017E+000, 0.82617415E+003, 0.62810433E+003,
 0.90000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82618592E+003, 0.82690166E+003, 0.87636731E+003, 0.12085913E+004, 0.00000000E+000, 0.82627547E+003, 0.00000000E+000, 0.82618630E+003, 0.82610673E+003, 0.15846983E+000, 0.15846983E+000, 0.82618087E+003, 0.62810045E+003,
 0.95000000E+001, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82618983E+003, 0.82690076E+003, 0.87636364E+003, 0.12085916E+004, 0.00000000E+000, 0.82627958E+003, 0.00000000E+000, 0.82619011E+003, 0.82611113E+003, 0.15846965E+000, 0.15846965E+000, 0.82618589E+003, 0.62809690E+003,
 0.10000000E+002, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82619214E+003, 0.82689864E+003, 0.87635910E+003, 0.12085919E+004, 0.00000000E+000, 0.82628206E+003, 0.00000000E+000, 0.82619232E+003, 0.82611394E+003, 0.15846960E+000, 0.15846960E+000, 0.82618927E+003, 0.62809366E+003,
 0.10500000E+002, 0.18125000E+001, 0.23125000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.82619298E+003, 0.82689548E+003, 0.87635388E+003, 0.12085923E+004, 0.00000000E+000, 0.82628305E+003, 0.00000000E+000, 0.82619307E+003, 0.82611529E+003, 0.15846966E+000, 0.15846966E+000, 0.82619112E+003, 0.62809072E+003,
