ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000148E+001, 0.44425062E-004, 0.50000357E+000, 0.54682606E-001, 0.13737523E-004, 0.00000000E+000,-0.11806324E-005, 0.00000000E+000, 0.00000000E+000, 0.22497084E-007, 0.14895658E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000370E+001, 0.51893963E-004, 0.10000162E+001, 0.54682653E-001, 0.32208435E-004, 0.00000000E+000,-0.60587623E-005,-0.34174084E-005,-0.13749514E-005, 0.80937898E-007, 0.42978619E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10000567E+001, 0.36807026E-004, 0.15000398E+001, 0.54682733E-001, 0.45415108E-004, 0.00000000E+000,-0.13638476E-004,-0.11519032E-004,-0.44930219E-005, 0.16579007E-006, 0.74899848E-004, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10000765E+001, 0.39530091E-004, 0.20000730E+001, 0.54682835E-001, 0.57355964E-004, 0.00000000E+000,-0.22458550E-004,-0.21528882E-004,-0.90796574E-005, 0.17040050E-006, 0.11025265E-003, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10000915E+001, 0.25502666E-004, 0.25001152E+001, 0.54682954E-001, 0.63697713E-004, 0.00000000E+000,-0.31970537E-004,-0.32573416E-004,-0.14495831E-004,-0.49334016E-007, 0.14278683E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10001027E+001, 0.18310714E-004, 0.30001639E+001, 0.54683079E-001, 0.66211880E-004, 0.00000000E+000,-0.40883064E-004,-0.43352334E-004,-0.20089663E-004,-0.62272940E-006, 0.17115967E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10001097E+001, 0.98782991E-005, 0.35002171E+001, 0.54683201E-001, 0.65187809E-004, 0.00000000E+000,-0.48722331E-004,-0.52814318E-004,-0.25263587E-004,-0.16573960E-005, 0.19364544E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10001135E+001, 0.43659895E-005, 0.40002730E+001, 0.54683316E-001, 0.61920280E-004, 0.00000000E+000,-0.55097373E-004,-0.60589261E-004,-0.29606895E-004,-0.32204233E-005, 0.21043423E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10001142E+001,-0.15993343E-005, 0.45003300E+001, 0.54683420E-001, 0.56710625E-004, 0.00000000E+000,-0.59940287E-004,-0.66486254E-004,-0.32865304E-004,-0.53338688E-005, 0.22133634E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10001124E+001,-0.59940968E-005, 0.50003868E+001, 0.54683510E-001, 0.50256492E-004, 0.00000000E+000,-0.63217186E-004,-0.70538101E-004,-0.34944552E-004,-0.79843454E-005, 0.22694068E-003, 0.00000000E+000, 0.00000000E+000,
11,0, 0.55000000E+001, 0.50000000E+000, 0.10001084E+001,-0.10294338E-004, 0.55004420E+001, 0.54683584E-001, 0.42803225E-004, 0.00000000E+000,-0.65030985E-004,-0.72820565E-004,-0.35865097E-004,-0.11127612E-004, 0.22764748E-003, 0.00000000E+000, 0.00000000E+000,
