ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.10000126E+001, 0.37679151E-004, 0.50000302E+000, 0.54682603E-001, 0.11651504E-004, 0.00000000E+000,-0.10031723E-005, 0.00000000E+000, 0.00000000E+000,-0.10042795E-010, 0.12654686E-004, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.10000321E+001, 0.46074472E-004, 0.10000139E+001, 0.54682644E-001, 0.27969478E-004, 0.00000000E+000,-0.52053884E-005,-0.29023621E-005,-0.11829261E-005, 0.36129844E-010, 0.37260118E-004, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.10000496E+001, 0.32884278E-004, 0.15000344E+001, 0.54682714E-001, 0.39787439E-004, 0.00000000E+000,-0.11863753E-004,-0.99555607E-005,-0.39043695E-005,-0.26938109E-007, 0.65538060E-004, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.10000663E+001, 0.32547135E-004, 0.20000634E+001, 0.54682803E-001, 0.49643294E-004, 0.00000000E+000,-0.19630477E-004,-0.18807354E-004,-0.82415513E-005,-0.17295118E-006, 0.96495628E-004, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.10000784E+001, 0.19707194E-004, 0.25000997E+001, 0.54682905E-001, 0.54281798E-004, 0.00000000E+000,-0.27905135E-004,-0.28506705E-004,-0.13513154E-004,-0.56508117E-006, 0.12477187E-003, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.10000868E+001, 0.13214618E-004, 0.30001412E+001, 0.54683010E-001, 0.55504365E-004, 0.00000000E+000,-0.35580854E-004,-0.37876668E-004,-0.18896118E-004,-0.13180385E-005, 0.14917604E-003, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.10000919E+001, 0.67625214E-005, 0.35001860E+001, 0.54683112E-001, 0.53984573E-004, 0.00000000E+000,-0.42274430E-004,-0.46018523E-004,-0.23746891E-004,-0.25251016E-005, 0.16854952E-003, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.10000944E+001, 0.23638304E-005, 0.40002326E+001, 0.54683206E-001, 0.50757538E-004, 0.00000000E+000,-0.47704524E-004,-0.52686211E-004,-0.27619127E-004,-0.42424614E-005, 0.18300986E-003, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.10000944E+001,-0.24371802E-005, 0.45002799E+001, 0.54683290E-001, 0.46042601E-004, 0.00000000E+000,-0.51812631E-004,-0.57744873E-004,-0.30289352E-004,-0.64860865E-005, 0.19237554E-003, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.10000924E+001,-0.61443107E-005, 0.50003266E+001, 0.54683362E-001, 0.40331395E-004, 0.00000000E+000,-0.54564734E-004,-0.61207853E-004,-0.31691929E-004,-0.92412749E-005, 0.19703719E-003, 0.00000000E+000, 0.00000000E+000,
11,0, 0.55000000E+001, 0.50000000E+000, 0.10000884E+001,-0.98387558E-005, 0.55003719E+001, 0.54683420E-001, 0.33782590E-004, 0.00000000E+000,-0.56028661E-004,-0.63117153E-004,-0.31879292E-004,-0.12467404E-004, 0.19727510E-003, 0.00000000E+000, 0.00000000E+000,
12,0, 0.60000000E+001, 0.50000000E+000, 0.10000828E+001,-0.12897597E-004, 0.60004147E+001, 0.54683464E-001, 0.26669549E-004, 0.00000000E+000,-0.56286809E-004,-0.63598795E-004,-0.30999195E-004,-0.16106122E-004, 0.19366047E-003, 0.00000000E+000, 0.00000000E+000,
13,0, 0.65000000E+001, 0.50000000E+000, 0.10000757E+001,-0.15679469E-004, 0.65004543E+001, 0.54683493E-001, 0.19153111E-004, 0.00000000E+000,-0.55469599E-004,-0.62793920E-004,-0.29224631E-004,-0.20086410E-004, 0.18672767E-003, 0.00000000E+000, 0.00000000E+000,
14,0, 0.70000000E+001, 0.50000000E+000, 0.10000673E+001,-0.17977927E-004, 0.70004901E+001, 0.54683507E-001, 0.11425036E-004, 0.00000000E+000,-0.53717704E-004,-0.60891560E-004,-0.26765927E-004,-0.24330325E-004, 0.17713055E-003, 0.00000000E+000, 0.00000000E+000,
15,0, 0.75000000E+001, 0.50000000E+000, 0.10000579E+001,-0.19817634E-004, 0.75005214E+001, 0.54683507E-001, 0.36615430E-005, 0.00000000E+000,-0.51190216E-004,-0.58081657E-004,-0.23795169E-004,-0.28757210E-004, 0.16548579E-003, 0.00000000E+000, 0.00000000E+000,
16,0, 0.80000000E+001, 0.50000000E+000, 0.10000477E+001,-0.21223229E-004, 0.80005479E+001, 0.54683491E-001,-0.39838290E-005, 0.00000000E+000,-0.48048302E-004,-0.54572512E-004,-0.20491008E-004,-0.33287341E-004, 0.15241533E-003, 0.00000000E+000, 0.00000000E+000,
17,0, 0.85000000E+001, 0.50000000E+000, 0.10000369E+001,-0.22157538E-004, 0.85005690E+001, 0.54683462E-001,-0.11360741E-004, 0.00000000E+000,-0.44449795E-004,-0.50557203E-004,-0.16977989E-004,-0.37844987E-004, 0.13846923E-003, 0.00000000E+000, 0.00000000E+000,
