TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77924557E+003, 0.79273216E+003, 0.89326061E+003, 0.12204827E+004, 0.00000000E+000, 0.77948025E+003, 0.00000000E+000, 0.77924562E+003, 0.77917804E+003, 0.37616815E+000, 0.37616815E+000, 0.77924525E+003, 0.62815000E+003,
 0.10000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77925102E+003, 0.79274146E+003, 0.89326580E+003, 0.12204832E+004, 0.00000000E+000, 0.77948484E+003, 0.00000000E+000, 0.77925119E+003, 0.77918290E+003, 0.37612264E+000, 0.37612264E+000, 0.77924978E+003, 0.62815000E+003,
 0.15000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77926137E+003, 0.79275545E+003, 0.89327609E+003, 0.12204826E+004, 0.00000000E+000, 0.77949411E+003, 0.00000000E+000, 0.77926165E+003, 0.77919220E+003, 0.37607485E+000, 0.37607485E+000, 0.77925904E+003, 0.62815000E+003,
 0.20000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77927521E+003, 0.79277185E+003, 0.89328908E+003, 0.12204810E+004, 0.00000000E+000, 0.77950705E+003, 0.00000000E+000, 0.77927556E+003, 0.77920480E+003, 0.37602955E+000, 0.37602955E+000, 0.77927197E+003, 0.62815000E+003,
 0.25000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77929113E+003, 0.79278904E+003, 0.89330344E+003, 0.12204794E+004, 0.00000000E+000, 0.77952236E+003, 0.00000000E+000, 0.77929153E+003, 0.77921955E+003, 0.37599358E+000, 0.37599358E+000, 0.77928721E+003, 0.62814996E+003,
 0.30000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77930751E+003, 0.79280507E+003, 0.89331733E+003, 0.12204776E+004, 0.00000000E+000, 0.77953852E+003, 0.00000000E+000, 0.77930792E+003, 0.77923503E+003, 0.37596537E+000, 0.37596537E+000, 0.77930331E+003, 0.62814949E+003,
 0.35000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77932297E+003, 0.79281907E+003, 0.89332963E+003, 0.12204759E+004, 0.00000000E+000, 0.77955409E+003, 0.00000000E+000, 0.77932336E+003, 0.77924997E+003, 0.37594379E+000, 0.37594379E+000, 0.77931880E+003, 0.62814830E+003,
 0.40000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77933678E+003, 0.79283065E+003, 0.89333980E+003, 0.12204743E+004, 0.00000000E+000, 0.77956823E+003, 0.00000000E+000, 0.77933713E+003, 0.77926362E+003, 0.37592737E+000, 0.37592737E+000, 0.77933288E+003, 0.62814626E+003,
 0.45000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77934849E+003, 0.79283976E+003, 0.89334774E+003, 0.12204729E+004, 0.00000000E+000, 0.77958043E+003, 0.00000000E+000, 0.77934880E+003, 0.77927550E+003, 0.37591490E+000, 0.37591490E+000, 0.77934502E+003, 0.62814339E+003,
 0.50000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77935798E+003, 0.79284646E+003, 0.89335342E+003, 0.12204716E+004, 0.00000000E+000, 0.77959045E+003, 0.00000000E+000, 0.77935824E+003, 0.77928540E+003, 0.37590544E+000, 0.37590544E+000, 0.77935503E+003, 0.62813979E+003,
 0.55000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77936522E+003, 0.79285091E+003, 0.89335699E+003, 0.12204704E+004, 0.00000000E+000, 0.77959824E+003, 0.00000000E+000, 0.77936542E+003, 0.77929323E+003, 0.37589828E+000, 0.37589828E+000, 0.77936282E+003, 0.62813560E+003,
 0.60000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77937030E+003, 0.79285329E+003, 0.89335858E+003, 0.12204694E+004, 0.00000000E+000, 0.77960386E+003, 0.00000000E+000, 0.77937044E+003, 0.77929901E+003, 0.37589284E+000, 0.37589284E+000, 0.77936847E+003, 0.62813100E+003,
 0.65000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77937337E+003, 0.79285384E+003, 0.89335839E+003, 0.12204685E+004, 0.00000000E+000, 0.77960744E+003, 0.00000000E+000, 0.77937346E+003, 0.77930283E+003, 0.37588873E+000, 0.37588873E+000, 0.77937210E+003, 0.62812617E+003,
 0.70000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77937463E+003, 0.79285278E+003, 0.89335662E+003, 0.12204678E+004, 0.00000000E+000, 0.77960916E+003, 0.00000000E+000, 0.77937467E+003, 0.77930486E+003, 0.37588561E+000, 0.37588561E+000, 0.77937387E+003, 0.62812128E+003,
 0.75000000E+001, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77937428E+003, 0.79285036E+003, 0.89335351E+003, 0.12204671E+004, 0.00000000E+000, 0.77960922E+003, 0.00000000E+000, 0.77937429E+003, 0.77930526E+003, 0.37588325E+000, 0.37588325E+000, 0.77937400E+003, 0.62811648E+003,
 0.80000000E+001, 0.18125000E+001, 0.21875000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.77937270E+003, 0.79284684E+003, 0.89334928E+003, 0.12108129E+004, 0.00000000E+000, 0.77960786E+003, 0.00000000E+000, 0.77937254E+003, 0.77930425E+003, 0.37588146E+000, 0.37588146E+000, 0.77937270E+003, 0.62811186E+003,
 0.85000000E+001, 0.18125000E+001, 0.21875000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.77937019E+003, 0.79284246E+003, 0.89334417E+003, 0.12108124E+004, 0.00000000E+000, 0.77960531E+003, 0.00000000E+000, 0.77936967E+003, 0.77930204E+003, 0.37588012E+000, 0.37588012E+000, 0.77937021E+003, 0.62810752E+003,
 0.90000000E+001, 0.18125000E+001, 0.21875000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.77936672E+003, 0.79283745E+003, 0.89333842E+003, 0.12108121E+004, 0.00000000E+000, 0.77960181E+003, 0.00000000E+000, 0.77936590E+003, 0.77929886E+003, 0.37587911E+000, 0.37587911E+000, 0.77936677E+003, 0.62810348E+003,
 0.95000000E+001, 0.18125000E+001, 0.21875000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.77936252E+003, 0.79283202E+003, 0.89333222E+003, 0.12108118E+004, 0.00000000E+000, 0.77959757E+003, 0.00000000E+000, 0.77936147E+003, 0.77929493E+003, 0.37587835E+000, 0.37587835E+000, 0.77936259E+003, 0.62809977E+003,
 0.10000000E+002, 0.18125000E+001, 0.21875000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.77935780E+003, 0.79282635E+003, 0.89332578E+003, 0.12108115E+004, 0.00000000E+000, 0.77959281E+003, 0.00000000E+000, 0.77935657E+003, 0.77929044E+003, 0.37587778E+000, 0.37587778E+000, 0.77935788E+003, 0.62809639E+003,
 0.10500000E+002, 0.18125000E+001, 0.21875000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.77935272E+003, 0.79282059E+003, 0.89331923E+003, 0.12108113E+004, 0.00000000E+000, 0.77958770E+003, 0.00000000E+000, 0.77935137E+003, 0.77928556E+003, 0.37587736E+000, 0.37587736E+000, 0.77935282E+003, 0.62809332E+003,
 0.11000000E+002, 0.18125000E+001, 0.21875000E+001, 0.31900000E+001, 0.00000000E+000, 0.00000000E+000, 0.77934746E+003, 0.79281486E+003, 0.89331271E+003, 0.12108111E+004, 0.00000000E+000, 0.77958241E+003, 0.00000000E+000, 0.77934602E+003, 0.77928047E+003, 0.37587704E+000, 0.37587704E+000, 0.77934756E+003, 0.62809055E+003,
 0.11500000E+002, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77934908E+003, 0.79284748E+003, 0.89341264E+003, 0.12204646E+004, 0.00000000E+000, 0.77958385E+003, 0.00000000E+000, 0.77934925E+003, 0.77928268E+003, 0.37587682E+000, 0.37587682E+000, 0.77934853E+003, 0.62808805E+003,
 0.12000000E+002, 0.18125000E+001, 0.21875000E+001, 0.30250000E+001, 0.00000000E+000, 0.00000000E+000, 0.77939883E+003, 0.79301521E+003, 0.89381646E+003, 0.12204645E+004, 0.00000000E+000, 0.77962465E+003, 0.00000000E+000, 0.77940053E+003, 0.77932670E+003, 0.37587694E+000, 0.37587694E+000, 0.77938747E+003, 0.62808579E+003,
