TIME2,ZFuel(JCLN|Peak),ZClad(JNEN|Peak),ZCoolAVG(JNCN|Peak),ZStructure(JNSN),ZRadProf,TCoolAvg(JNCN|Peak),TClad(JNEN|Peak),TFuel(JCLN|Peak),TSat @ TCool,TFRAC,TCladMid(JNEN on MZC),Clad Melt?,TCoolMZC(JNCN),TStrInnr(JNSN),Outlet Flow,Inlet Flow,Outlet Temp,Inlet Temp,
 0.50000000E+000, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.76637406E+003, 0.77552972E+003, 0.81193606E+003, 0.12653465E+004, 0.00000000E+000, 0.77026718E+003, 0.00000000E+000, 0.76319092E+003, 0.76878828E+003, 0.90578983E-001, 0.90578983E-001, 0.77710141E+003, 0.62815000E+003,
 0.10000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.73293660E+003, 0.73631562E+003, 0.76717103E+003, 0.12596444E+004, 0.00000000E+000, 0.73161879E+003, 0.00000000E+000, 0.72538476E+003, 0.74070538E+003, 0.82651998E-001, 0.82651998E-001, 0.77706832E+003, 0.62814738E+003,
 0.15000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.69977636E+003, 0.70083199E+003, 0.72667210E+003, 0.12550179E+004, 0.00000000E+000, 0.69727839E+003, 0.00000000E+000, 0.69299516E+003, 0.71035939E+003, 0.75929865E-001, 0.75929865E-001, 0.77692390E+003, 0.62814740E+003,
 0.20000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.67849075E+003, 0.67816467E+003, 0.69627487E+003, 0.12511877E+004, 0.00000000E+000, 0.67584022E+003, 0.00000000E+000, 0.67334433E+003, 0.68945414E+003, 0.70161945E-001, 0.70161945E-001, 0.77633288E+003, 0.62814739E+003,
 0.25000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.66622560E+003, 0.66532732E+003, 0.67753886E+003, 0.12476801E+004, 0.00000000E+000, 0.66382268E+003, 0.00000000E+000, 0.66242630E+003, 0.67631828E+003, 0.64967080E-001, 0.64967080E-001, 0.77468192E+003, 0.62814726E+003,
 0.30000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65950335E+003, 0.65852316E+003, 0.66709847E+003, 0.12450291E+004, 0.00000000E+000, 0.65749387E+003, 0.00000000E+000, 0.65668004E+003, 0.66821836E+003, 0.60721726E-001, 0.60721726E-001, 0.77170960E+003, 0.62814690E+003,
 0.35000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65580996E+003, 0.65495705E+003, 0.66144570E+003, 0.12426981E+004, 0.00000000E+000, 0.65418923E+003, 0.00000000E+000, 0.65366584E+003, 0.66308543E+003, 0.57001382E-001, 0.57001382E-001, 0.76747547E+003, 0.62814654E+003,
 0.40000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65373354E+003, 0.65304547E+003, 0.65837596E+003, 0.12406634E+004, 0.00000000E+000, 0.65242080E+003, 0.00000000E+000, 0.65203714E+003, 0.65968065E+003, 0.53751755E-001, 0.53751755E-001, 0.76225183E+003, 0.62814653E+003,
 0.45000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65247895E+003, 0.65201358E+003, 0.65670319E+003, 0.12389064E+004, 0.00000000E+000, 0.65146568E+003, 0.00000000E+000, 0.65114409E+003, 0.65729733E+003, 0.50809345E-001, 0.50809345E-001, 0.75634067E+003, 0.62814624E+003,
 0.50000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65174488E+003, 0.65143506E+003, 0.65574538E+003, 0.12373707E+004, 0.00000000E+000, 0.65093389E+003, 0.00000000E+000, 0.65064278E+003, 0.65559905E+003, 0.48185474E-001, 0.48185474E-001, 0.75001661E+003, 0.62814632E+003,
 0.55000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65123641E+003, 0.65110803E+003, 0.65517009E+003, 0.12360157E+004, 0.00000000E+000, 0.65063635E+003, 0.00000000E+000, 0.65035963E+003, 0.65432640E+003, 0.45825790E-001, 0.45825790E-001, 0.74353365E+003, 0.62814709E+003,
 0.60000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65094352E+003, 0.65093354E+003, 0.65481540E+003, 0.12348183E+004, 0.00000000E+000, 0.65048444E+003, 0.00000000E+000, 0.65021796E+003, 0.65338563E+003, 0.43696119E-001, 0.43696119E-001, 0.73706924E+003, 0.62814771E+003,
 0.65000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65074040E+003, 0.65086584E+003, 0.65460288E+003, 0.12337527E+004, 0.00000000E+000, 0.65043396E+003, 0.00000000E+000, 0.65017462E+003, 0.65268505E+003, 0.41764145E-001, 0.41764145E-001, 0.73078568E+003, 0.62814821E+003,
 0.70000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65066524E+003, 0.65087710E+003, 0.65449278E+003, 0.12327998E+004, 0.00000000E+000, 0.65046041E+003, 0.00000000E+000, 0.65020860E+003, 0.65218143E+003, 0.40002709E-001, 0.40002709E-001, 0.72476062E+003, 0.62814862E+003,
 0.75000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65064137E+003, 0.65095280E+003, 0.65446210E+003, 0.12319435E+004, 0.00000000E+000, 0.65054871E+003, 0.00000000E+000, 0.65030370E+003, 0.65183581E+003, 0.38389767E-001, 0.38389767E-001, 0.71907865E+003, 0.62814896E+003,
 0.80000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65070676E+003, 0.65108059E+003, 0.65449607E+003, 0.12311702E+004, 0.00000000E+000, 0.65068812E+003, 0.00000000E+000, 0.65045071E+003, 0.65161721E+003, 0.36905396E-001, 0.36905396E-001, 0.71375067E+003, 0.62814924E+003,
 0.85000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65080629E+003, 0.65125308E+003, 0.65458405E+003, 0.12304689E+004, 0.00000000E+000, 0.65087055E+003, 0.00000000E+000, 0.65064048E+003, 0.65150800E+003, 0.35533713E-001, 0.35533713E-001, 0.70881074E+003, 0.62814948E+003,
 0.90000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65097110E+003, 0.65146272E+003, 0.65471770E+003, 0.12298299E+004, 0.00000000E+000, 0.65108947E+003, 0.00000000E+000, 0.65086736E+003, 0.65148316E+003, 0.34260333E-001, 0.34260333E-001, 0.70423712E+003, 0.62814968E+003,
 0.95000000E+001, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65115963E+003, 0.65170471E+003, 0.65489040E+003, 0.12292455E+004, 0.00000000E+000, 0.65133954E+003, 0.00000000E+000, 0.65112526E+003, 0.65153544E+003, 0.33073615E-001, 0.33073615E-001, 0.70003346E+003, 0.62814985E+003,
 0.10000000E+002, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65139667E+003, 0.65197398E+003, 0.65509661E+003, 0.12287090E+004, 0.00000000E+000, 0.65161643E+003, 0.00000000E+000, 0.65141040E+003, 0.65164463E+003, 0.31963249E-001, 0.31963249E-001, 0.69616902E+003, 0.62814999E+003,
 0.10500000E+002, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65165057E+003, 0.65226726E+003, 0.65533180E+003, 0.12282147E+004, 0.00000000E+000, 0.65191643E+003, 0.00000000E+000, 0.65171855E+003, 0.65180889E+003, 0.30920848E-001, 0.30920848E-001, 0.69262960E+003, 0.62815012E+003,
 0.11000000E+002, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65194097E+003, 0.65258107E+003, 0.65559217E+003, 0.12277580E+004, 0.00000000E+000, 0.65223661E+003, 0.00000000E+000, 0.65204716E+003, 0.65201214E+003, 0.29939065E-001, 0.29939065E-001, 0.68938833E+003, 0.62815023E+003,
 0.11500000E+002, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65224366E+003, 0.65291311E+003, 0.65587457E+003, 0.12273347E+004, 0.00000000E+000, 0.65257437E+003, 0.00000000E+000, 0.65239325E+003, 0.65225527E+003, 0.29011964E-001, 0.29011964E-001, 0.68642034E+003, 0.62815032E+003,
 0.12000000E+002, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65257418E+003, 0.65326100E+003, 0.65617633E+003, 0.12269414E+004, 0.00000000E+000, 0.65292769E+003, 0.00000000E+000, 0.65275508E+003, 0.65252561E+003, 0.28134375E-001, 0.28134375E-001, 0.68370817E+003, 0.62815041E+003,
 0.12500000E+002, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65291392E+003, 0.65362306E+003, 0.65649523E+003, 0.12265753E+004, 0.00000000E+000, 0.65329469E+003, 0.00000000E+000, 0.65313046E+003, 0.65282528E+003, 0.27302128E-001, 0.27302128E-001, 0.68122024E+003, 0.62815048E+003,
 0.13000000E+002, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65327514E+003, 0.65399759E+003, 0.65682935E+003, 0.12262337E+004, 0.00000000E+000, 0.65367393E+003, 0.00000000E+000, 0.65351820E+003, 0.65314434E+003, 0.26511579E-001, 0.26511579E-001, 0.67894987E+003, 0.62815055E+003,
 0.13500000E+002, 0.79248000E+000, 0.79248000E+000, 0.91651667E+000, 0.91651667E+000, 0.00000000E+000, 0.65364347E+003, 0.65438330E+003, 0.65717703E+003, 0.12259145E+004, 0.00000000E+000, 0.65406398E+003, 0.00000000E+000, 0.65391660E+003, 0.65348530E+003, 0.25759780E-001, 0.25759780E-001, 0.67686115E+003, 0.62815061E+003,
