ISTEP,IPOWER,TIME2,DT,PHI,PERIOD,PINTG,POWDK,Net,Program,Doppler,Axial,Radial,CRDL,Coolant,Fuel,Clad,
1,0, 0.50000000E+000, 0.50000000E+000, 0.20304160E+000,-0.47830332E+001, 0.17259268E+000, 0.52895926E-001,-0.44637742E+001,-0.45000000E+001, 0.51283868E-001, 0.00000000E+000, 0.00000000E+000, 0.28592428E-006,-0.15058352E-001, 0.00000000E+000, 0.00000000E+000,
2,0, 0.10000000E+001, 0.50000000E+000, 0.12274785E+000, 0.84508500E-001, 0.22386211E+000, 0.51529385E-001,-0.88904443E+001,-0.90000000E+001, 0.11911002E+000, 0.20193275E-001, 0.12080853E-001,-0.14381093E-005,-0.41827032E-001, 0.00000000E+000, 0.00000000E+000,
3,0, 0.15000000E+001, 0.50000000E+000, 0.93533630E-001,-0.31215495E+000, 0.25154345E+000, 0.50308434E-001,-0.13300014E+002,-0.13500000E+002, 0.15378112E+000, 0.56988007E-001, 0.39637327E-001,-0.90369615E-005,-0.50410953E-001, 0.00000000E+000, 0.00000000E+000,
4,0, 0.20000000E+001, 0.50000000E+000, 0.78683586E-001,-0.24684825E+000, 0.26938412E+000, 0.49237717E-001,-0.17730725E+002,-0.18000000E+002, 0.17084907E+000, 0.75888289E-001, 0.74999862E-001,-0.19707836E-004,-0.52442502E-001, 0.00000000E+000, 0.00000000E+000,
5,0, 0.25000000E+001, 0.50000000E+000, 0.74990356E-001, 0.28661338E-001, 0.28315869E+000, 0.48301788E-001,-0.17678300E+002,-0.18000000E+002, 0.17887246E+000, 0.84576703E-001, 0.11082992E+000,-0.10107501E-004,-0.52568755E-001, 0.00000000E+000, 0.00000000E+000,
6,0, 0.30000000E+001, 0.50000000E+000, 0.71936659E-001,-0.76645516E-001, 0.29601407E+000, 0.47481300E-001,-0.17637804E+002,-0.18000000E+002, 0.18232815E+000, 0.88530958E-001, 0.14332296E+000, 0.68837523E-004,-0.52055131E-001, 0.00000000E+000, 0.00000000E+000,
7,0, 0.35000000E+001, 0.50000000E+000, 0.69344359E-001,-0.68530062E-001, 0.30794010E+000, 0.46751861E-001,-0.17606058E+002,-0.18000000E+002, 0.18395001E+000, 0.90137393E-001, 0.17109903E+000, 0.29628487E-003,-0.51540285E-001, 0.00000000E+000, 0.00000000E+000,
8,0, 0.40000000E+001, 0.50000000E+000, 0.67107404E-001,-0.61670079E-001, 0.31918570E+000, 0.46096310E-001,-0.17580693E+002,-0.18000000E+002, 0.18477928E+000, 0.90805345E-001, 0.19407587E+000, 0.76755042E-003,-0.51121145E-001, 0.00000000E+000, 0.00000000E+000,
9,0, 0.45000000E+001, 0.50000000E+000, 0.65151381E-001,-0.55952203E-001, 0.33004872E+000, 0.45501601E-001,-0.17560137E+002,-0.18000000E+002, 0.18522602E+000, 0.91082243E-001, 0.21275931E+000, 0.15700038E-002,-0.50774944E-001, 0.00000000E+000, 0.00000000E+000,
10,0, 0.50000000E+001, 0.50000000E+000, 0.63422173E-001,-0.51119017E-001, 0.34097100E+000, 0.44957720E-001,-0.17543251E+002,-0.18000000E+002, 0.18548480E+000, 0.91175886E-001, 0.22777375E+000, 0.27931133E-002,-0.50478984E-001, 0.00000000E+000, 0.00000000E+000,
